name,pop_diff_past,aware_diff_past,201902人気度,201902知名度,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3,weightedPV1,weightedPV2,weightedPV3,weightedPV4,weightedPV5,allPV,burst_weightedPV1,burst_weightedPV5,weightedPV1_past,weightedPV2_past,weightedPV3_past,weightedPV4_past,weightedPV5_past,allPV
DAIGO,-4.5,-2.1,38.1,97.7,2,14426,12,242.0,-4.0,-0.5999999999999943,33.6,95.6,29.6,95.0,8.0,133.0,9.0,3.0,146.0,50.0,12.0,196.0,5.899215534178694e-08,0.0011509351336392068,19.63424171082374,499995.3645982986,44.510459131298134,58888.057230242805,140506.03974427728,35572.257446997864,3426.0762196391006,91884.84865280989,294317,2967.8558292549133,5050.7801171271685,494210.4734436516,1040277.9496986266,60141.84872882019,9264.395399322577,499145.72587388597,2904740.0
HIKAKIN,8.5,15.4,11.3,73.1,2,15019,15,208.0,-5.300000000000001,-1.0999999999999943,19.8,88.5,14.5,87.4,8.0,119.0,7.0,7.0,118.0,85.0,14.0,203.0,1.8872714854909925e-292,0.0006048415627755797,14.361201219232623,373626.5928954962,36.76433079784172,79795.82693834616,188840.64627991596,43910.845058846025,3680.37930548239,120746.96438763138,402639,2093.0912430211656,3132.0405065052037,738628.3668495147,1540318.2177789863,45771.534850515374,4673.428336927127,711211.4484580574,4381363.0
IKKO,1,1.1,28,97.3,9,23170,19,71.0,-0.1999999999999993,-0.9000000000000057,29.0,98.4,28.8,97.5,11.0,34.0,12.0,6.0,41.0,24.0,18.0,65.0,0.0,2.18811345665028e-05,5.6065680197365735,135252.948217946,15.314460804825647,17962.919380801704,43904.226777785414,15268.576523107617,2058.2043635109803,30901.369381016728,87594,4905.064705248524,8682.674589234526,133089.39656429976,275741.7893032303,7448.01248945702,767.9112339276259,124796.88049196292,796105.0
IMALU,0.2,-5.5,5.5,83.4,11,38867,45,256.0,-0.20000000000000018,-0.20000000000000284,5.7,77.9,5.5,77.7,-7.0,-91.0,14.0,23.0,49.0,146.0,37.0,195.0,9.503392090912201e-10,3.4059069999332794e-05,18.613573074421705,289523.13584099663,43.201503556617496,22377.55302021771,53341.332214097805,13374.590259301533,1205.1710681903799,34727.85281422106,111943,8300.24488167381,13605.415173810523,130685.98806968845,273011.55812541937,7216.829256697714,1050.4481151488853,126975.21826257983,772767.0
LiLiCo,0.2,1.4,20.7,86.9,23,52839,35,150.0,2.6000000000000014,-1.5999999999999943,20.9,88.3,23.5,86.7,-3.0,54.0,11.0,10.0,67.0,33.0,21.0,100.0,7.777515305889965e-179,2.872375419774314e-05,13.67940400663021,205978.12274888405,24.858693750232977,27558.03398498219,65364.305880446576,14700.6314576051,742.0733096707611,41452.62527682643,138273,7945.593511401889,11425.005924364092,211958.29907573783,441268.2175597877,10324.630786551075,696.8782828320284,202122.1023162359,1259621.0
MEGUMI,5.7,-2.1,10.8,77.5,12,149880,0,0.0,0.8000000000000007,-1.9000000000000057,16.5,75.4,17.3,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.057109461306383e-08,0.0005446668350372702,0,0,0,72903.35675925745,167306.27449849664,19030.553728032453,1618.8543972074708,99247.27435998792,380308,23413.127743517623,29385.3337075373,221842.78923525978,470423.0012820262,30152.854842060744,4132.696243790335,230405.26198603676,1292977.0
SHELLY,2.8,0,18.8,84.2,13,34482,4,35.0,-2.8000000000000007,-4.0,21.6,84.2,18.8,80.2,1.0,11.0,2.0,1.0,15.0,10.0,3.0,25.0,5.3094968073915455e-09,2.0455484499288372e-05,3.1681211164116125,67011.11292739776,7.30003162720095,23485.36842080423,54142.99454984542,7138.12325531834,772.4118536358883,32645.091756258862,122049,9617.50015078948,11985.753697187649,248616.5636243218,521342.5714528204,35940.90279607379,1812.900905656104,244727.3455604474,1470412.0
YOU_(タレント),-0.4,-1,22.3,89,9,37380,57,600.0,4.100000000000001,-1.2999999999999972,21.9,88.0,26.0,86.7,-3.0,44.0,4.0,8.0,71.0,52.0,12.0,123.0,3.006639531808217e-08,0.00040588346994607235,40.952554544466814,622651.3561714292,60.408877080874646,36829.64503717711,86977.7295367446,18551.32304180624,1424.150290438587,55147.59179785874,186038,6330.776030261176,8105.329561668547,324136.39337829204,679747.7726520564,23986.849444455325,1839.5756082608568,318811.2867191078,1908688.0
あばれる君,6.5,2.7,16.3,92,12,31146,14,64.0,-0.10000000000000142,-0.9000000000000057,22.8,94.7,22.7,93.8,10.0,45.0,7.0,1.0,40.0,12.0,8.0,52.0,0.0,5.830734347212943e-06,7.163338828614369,100930.83380744504,13.207488603649283,19792.429707112642,46663.26043361365,10083.704343106643,894.1876019304909,29607.673632033737,100304,5994.191233329669,9044.325426574645,171688.96007485167,358043.29413922224,11374.740317670059,1718.1565349514167,165925.59936865594,1018147.0
いとうあさこ,4.6,-1.4,35.6,96.3,9,38475,18,234.0,-4.100000000000001,0.0,40.2,94.9,36.1,94.9,8.0,12.0,8.0,3.0,60.0,73.0,11.0,133.0,3.174055906471117e-08,0.000360400324981277,19.258654997247625,431801.0766440856,54.12185117479723,30600.74066156587,71488.84148152472,13972.873397594492,833.7414688272779,44053.311891583115,156650,9038.77816683412,11995.227086443963,297084.1223044162,630810.533641491,53251.40341465235,16692.557973328352,322329.2302515045,1737756.0
おぎやはぎ,3.9,-0.5,28.1,93.6,9,19291,30,189.0,-4.899999999999999,0.0,32.0,93.1,27.1,93.1,1.0,70.0,12.0,11.0,104.0,45.0,23.0,149.0,8.57372491805486e-08,0.0007505871312820405,16.088855388925978,319727.0520168492,38.30223744148101,22619.734622156608,53203.80611641282,10471.594875982539,843.2033084721187,33446.346945719255,114809,3437.6201164254335,4617.728833905272,200825.75243077418,419068.0791958732,12217.37200604287,1794.4440186817642,194373.18586596387,1189513.0
おのののか,-2.3,-10.2,7.4,80.5,12,47782,23,104.0,0.6000000000000005,4.400000000000006,5.1,70.3,5.7,74.7,-1.0,25.0,7.0,10.0,37.0,25.0,17.0,62.0,0.0,2.3648212999140854e-06,7.206812778111404,160956.6828117767,18.413986639961266,20217.23747944613,50690.08731555493,26400.926425217127,1449.3815641588856,36123.96411553782,95745,11220.361368273618,22247.65571782875,168607.19124422158,347892.28362676554,4925.695860921252,365.6683090422989,154871.90057544032,1010846.0
かたせ梨乃,1.6,-5.1,13.8,82.1,11,37731,10,62.0,2.700000000000001,-0.7000000000000028,15.4,77.0,18.1,76.3,1.0,7.0,3.0,4.0,18.0,22.0,7.0,40.0,0.0,1.5404819281382645e-05,5.760460185781288,101746.16084616176,11.642347900134768,32406.022566294785,77912.96618267715,20535.25640043326,2277.799730235518,52041.161088991714,160393,8473.627335512558,14206.743025025251,221648.67980910456,461334.1066938548,11068.265979066053,1509.6241719837385,211958.865104555,1317023.0
きゃりーぱみゅぱみゅ,-4.4,-2.3,17,94.7,6,41042,27,220.0,3.0,0.8999999999999915,12.6,92.4,15.6,93.3,20.0,67.0,16.0,6.0,95.0,66.0,22.0,161.0,4.3419098985549044e-08,0.0004626857610533973,13.942133612730043,335193.59136571817,36.73836319838179,35294.98131760175,84951.23820265608,25637.66205535156,2072.8479269136187,56374.58910863599,174743,8598.975220837012,15106.458873655305,239178.66187229627,499166.7979497747,15278.2164903619,1633.7904767249324,231119.96747958634,1417012.0
くっきー!,2.2,6.1,18.9,81.9,6,17201,22,273.0,-2.5,1.0,21.1,88.0,18.6,89.0,7.0,-40.0,9.0,8.0,65.0,144.0,17.0,209.0,2.2892512270990194e-08,0.00035754983336846086,22.74442238486838,368254.3185230168,44.05011685078824,24714.053630754803,58833.203030598175,14840.694506219013,1127.3940767583872,38000.35952068212,123798,3480.8182934800284,5182.658325846862,196027.34626256395,409746.56849040237,11580.453692569812,1384.6239440369868,190619.04852297113,1157533.0
さまぁ〜ず,-2.5,-2.9,39.1,95.8,5,9361,16,236.0,-3.5,1.3999999999999915,36.6,92.9,33.1,94.3,8.0,81.0,8.0,2.0,109.0,52.0,10.0,161.0,1.8873249092961218e-07,0.0008470300837011777,20.69528707641511,449417.48030288675,48.22285241483318,23462.35595757808,55671.823717807405,12534.33414949791,1177.730697978769,35876.9573369685,117928,2069.565814080913,2819.8653836204608,210060.78982779646,437856.415993142,11836.809973841706,1207.6593607298732,201790.31226024823,1245667.0
つるの剛士,-5.7,-4.4,15.6,94.3,7,12207,27,222.0,0.9000000000000004,1.0999999999999943,9.9,89.9,10.8,91.0,41.0,138.0,23.0,4.0,115.0,57.0,27.0,172.0,1.54006447326046e-08,0.00012037359508451746,18.565500518620475,468747.4811452712,44.76851172629806,17639.738050762695,41504.79852837022,8692.755419150692,901.9104769091055,26342.519779785758,89676,2843.8527723948837,4670.130807436148,152470.7204713236,317494.5084432576,9295.691028537492,940.980746535632,145932.02322611757,905949.0
でんでん,1.1,-5.7,5.8,63.9,5,8521,2,54.0,1.4000000000000004,5.5,6.9,58.2,8.3,63.7,0.0,42.0,1.0,1.0,31.0,6.0,2.0,37.0,0.0,4.464383709884738e-06,5.631460724036132,73311.21409977491,8.873563434602298,16215.460301886907,38169.35749731623,7034.532016455517,614.2072154295392,24048.13781245548,82139,1707.2433870877862,2238.4999196495405,107642.39219289267,225671.99810488115,8480.058006002415,1773.1511527696723,106913.42710557683,634467.0
ともさかりえ,1.8,-4.6,6.2,80,9,64444,51,80.0,1.4000000000000004,1.0999999999999943,8.0,75.4,9.4,76.5,55.0,67.0,43.0,6.0,53.0,12.0,49.0,65.0,2.326102496979095e-08,0.00015047895503487102,6.122215633965067,190378.8667038432,17.33485198032511,31840.21861538706,77726.0957868252,26649.596764181028,2150.9122080031902,53058.543560236634,154986,13025.433572970593,23701.40131879633,192842.7549540361,405945.7772269028,16416.280368242744,1726.827083063111,193080.62221323643,1131268.0
はるな愛,-1.4,-4.8,14.9,96.8,6,6183,9,81.0,-1.3000000000000007,1.7999999999999972,13.5,92.0,12.2,93.8,2.0,6.0,5.0,3.0,28.0,27.0,8.0,55.0,1.3302349001874525e-08,0.00010378848891154199,7.36118029962773,103045.59969615674,12.962392064571656,12162.181310526963,28958.64964337887,6908.918028220305,947.4341068870033,19109.156716475132,61034,1114.5489712612166,2340.1539361017985,107821.76035845232,224937.75793235123,6621.910043388584,583.7629308629294,103886.22166559061,638967.0
ゆりやんレトリィバァ,-2.3,1.9,22.5,88.7,6,17323,32,202.0,0.3000000000000007,-0.8999999999999915,20.2,90.6,20.5,89.7,-25.0,44.0,8.0,20.0,72.0,62.0,28.0,134.0,4.292691895546531e-10,7.888174579781106e-05,16.610789910372976,384128.1739219302,38.17885374804801,19686.0361100678,46943.70116008277,11138.449864028997,919.6489851465896,30453.442309801503,98301,3022.7642484387643,5329.792310181107,305779.4863025755,630414.8109523855,11722.954022561446,1282.663146729289,280545.0750385706,1838012.0
りょう_(女優),4.6,-6.6,16.6,78.6,7,11586,33,447.0,-1.5999999999999979,2.200000000000003,21.2,72.0,19.6,74.2,14.0,235.0,12.0,2.0,210.0,67.0,14.0,277.0,0.0,0,28.054190170823308,610115.8015368768,60.37492068012981,17767.457184004284,42090.57343979349,9453.330256148029,784.6315321687031,26927.99643823805,89482,2247.8583871131646,3702.8682776037176,67619.29638339249,152879.92058371493,32092.52433329269,2530.8102601367727,88578.06507942021,364649.0
アンミカ,7.8,8.4,12.9,84.2,9,120781,24,248.0,7.100000000000001,0.5,20.7,92.6,27.8,93.1,16.0,173.0,13.0,3.0,160.0,36.0,16.0,196.0,3.031336174187067e-08,0.01257373348607793,19.05708727560012,489523.5828933625,50.75182463153937,94560.69651437584,225841.6365593474,57088.282493143364,4526.0320836128885,147035.94655785093,471387,23726.048899368434,37182.748850811244,373723.09914263926,789396.9718853607,30727.426333204785,2922.4591123010873,378694.04576050467,2177307.0
イモトアヤコ,-10.3,-0.5,45.5,98.2,10,24932,4,70.0,1.2999999999999972,-0.20000000000000284,35.2,97.7,36.5,97.5,10.0,109.0,4.0,0.0,63.0,7.0,4.0,70.0,4.241165125526645e-08,0.0021920256971831114,5.7069965603700155,129822.72478822619,14.925400295384891,26041.019614056324,60750.94602045112,9820.54005672868,706.3805212496466,37349.68378825145,133287,3641.429356183706,4629.307455604147,283537.4750848637,587725.8586797959,15660.841687388236,1308.1443143462834,266024.6267079194,1693990.0
ウド鈴木,-2,-2.6,18.8,95,9,14525,16,55.0,-0.6999999999999993,-0.5,16.8,92.4,16.1,91.9,23.0,51.0,12.0,3.0,36.0,8.0,15.0,44.0,1.129583413996328e-07,0.00024547625930232625,4.523800112648832,100385.50589511797,10.967590784766521,15327.124751508603,36320.85816806244,7869.008171511865,639.826291984787,23221.779764150197,77084,1629.2186193457899,2276.8069125662246,82934.75841333022,174274.02400062425,8044.87163309009,754.4386920226086,82486.58602315512,487660.0
オダギリジョー,4.6,-0.6,18.9,88,10,74222,84,234.0,3.0,0.6999999999999886,23.5,87.4,26.5,88.1,108.0,135.0,59.0,10.0,103.0,47.0,69.0,150.0,3.962182608758459e-09,0.00016356163531863624,20.14394236603033,384412.78943531646,37.14862743913018,54572.471247356756,126617.91940464293,16227.315928319698,1355.7731908748033,76936.43796800118,280758,11477.085654279304,14901.326187047343,421191.6481238192,889248.5717791088,13870.814829458937,1656.9556797274072,424749.10254784056,2450153.0
カズレーザー,4,3.4,29.6,92.7,13,51839,50,254.0,0.3999999999999986,0.7000000000000028,33.6,96.1,34.0,96.8,45.0,118.0,32.0,6.0,121.0,53.0,38.0,174.0,1.160197131970497e-11,0.0001456217470437302,24.00170400389181,498558.92934644525,55.409999649269615,62447.317668937445,148768.3447305766,35197.45221701075,3687.213157746103,97107.5300858068,312557,8941.510782974505,11975.066336439753,500461.56035389577,1035942.0644164355,25474.743817794893,3056.0517924563947,467700.67373037117,2995686.0
カンニング竹山,-5.7,-3.2,22.3,97.2,8,19146,21,137.0,-0.3000000000000007,0.29999999999999716,16.6,94.0,16.3,94.3,16.0,-25.0,16.0,2.0,34.0,59.0,18.0,93.0,6.261403659021223e-08,0.0006605760637012978,10.780523763454669,202880.31909638166,24.46808511168706,22595.30757945347,54052.40420893195,13399.383345053833,1551.267283343922,35765.00292305407,112568,2302.983095363259,3627.629670759492,183222.0295592384,380310.0749005319,9996.326955575649,1025.9891216698634,173037.31903276598,1092804.0
ガンバレルーヤ,6.4,1.2,20.5,88,12,37521,14,97.0,2.5,0.5,26.9,89.2,29.4,89.7,23.0,78.0,12.0,1.0,65.0,26.0,13.0,91.0,1.939065301870521e-08,0.0003371606119079548,8.885049264266693,196059.96819856472,20.18597689893954,25805.694657895343,60747.41425284068,12051.458176056725,818.0002530421034,38103.981765827826,130774,7297.066360844016,9877.905833429299,296528.66559938854,613114.1975423482,16188.679577335035,3173.0715618186796,277321.5245406855,1779181.0
キムラ緑子,-3.5,-9.8,16.1,62.5,6,13302,7,56.0,0.09999999999999964,0.7999999999999972,12.6,52.7,12.7,53.5,0.0,23.0,1.0,2.0,19.0,6.0,3.0,25.0,4.439361841284312e-09,1.861049591086423e-05,4.897708756310076,105262.96298413759,10.204855209780407,17991.977916833366,42142.97402852526,7230.292656354415,630.6018456886886,26262.67046312256,91671,2730.028118261802,3557.0640383734158,132489.53713269669,273418.3544098407,6457.922213894596,676.905055882907,122153.03033303445,796048.0
ケンドーコバヤシ,0.8,-1.2,21.9,93.1,6,24481,8,95.0,0.3000000000000007,0.0,22.7,91.9,23.0,91.9,6.0,53.0,6.0,2.0,52.0,18.0,8.0,70.0,1.0825600363567014e-07,0.0012801334469143529,6.565651478001992,132845.8283271471,14.671498784857175,33092.99669420245,81873.24788952406,33626.681216555386,4747.217035910802,59528.45361204665,159717,4043.93648731252,8815.281529084043,249769.7202087635,520680.20983572426,16134.445767890174,3030.5819562703273,241719.65221477777,1482588.0
サンドウィッチマン_(お笑いコンビ),3,0.7,61.8,97.2,7,41057,28,233.0,2.6000000000000085,0.19999999999998863,64.8,97.9,67.4,98.1,21.0,206.0,17.0,4.0,158.0,32.0,21.0,190.0,2.1364879679985746e-07,0.004210785492295147,18.25568553457097,413262.61922254955,44.560756682067726,64405.45568780139,153909.19711904228,38969.091968852175,3835.090115608229,101033.54616476505,321165,11002.686605002786,16135.816939901693,541711.589675733,1127037.8621321684,29871.628314748992,2803.9798485205624,516194.3000139013,3220817.0
シシド・カフカ,1.2,-3.7,10.1,64.1,3,7996,3,32.0,0.0,0.0,11.3,60.4,11.3,60.4,4.0,20.0,2.0,0.0,14.0,6.0,2.0,20.0,1.2825781797644006e-08,5.923312422467705e-05,2.2088716699997106,49333.402911007775,5.369621514667145,12638.29073316243,29542.377475466987,5037.031049123991,483.0072959458905,18372.663404003437,64595,1529.483315920133,1890.3968780722882,292531.93503225374,598624.4982374365,6429.7981371906235,513.9399702738837,259528.4411646669,1774167.0
