name,name2,gender,pop_diff_past,aware_diff_past,201902人気度,201902知名度,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3,weightedPV1,weightedPV2,weightedPV3,weightedPV4,weightedPV5,allPV,burst_weightedPV1,burst_weightedPV5,weightedPV1_past,weightedPV2_past,weightedPV3_past,weightedPV4_past,weightedPV5_past,allPV_past
DAIGO,DAIGO,男性,-4.5,-2.1,38.1,97.7,2,14426,12,242,-4,-0.6,33.6,95.6,29.6,95,8,133,9,3,146,50,12,196,5.90E-08,0.001150935134,19.63424171,499995.3646,44.51045913,58888.05723,140506.0397,35572.25745,3426.07622,91884.84865,294317,2967.855829,5050.780117,494210.4734,1040277.95,60141.84873,9264.395399,499145.7259,2904740
HIKAKIN,HIKAKIN,男性,8.5,15.4,11.3,73.1,2,15019,15,208,-5.3,-1.1,19.8,88.5,14.5,87.4,8,119,7,7,118,85,14,203,1.89E-292,0.0006048415628,14.36120122,373626.5929,36.7643308,79795.82694,188840.6463,43910.84506,3680.379305,120746.9644,402639,2093.091243,3132.040507,738628.3668,1540318.218,45771.53485,4673.428337,711211.4485,4381363
IKKO,IKKO,その他,1,1.1,28,97.3,9,23170,19,71,-0.2,-0.9,29,98.4,28.8,97.5,11,34,12,6,41,24,18,65,0,2.19E-05,5.60656802,135252.9482,15.3144608,17962.91938,43904.22678,15268.57652,2058.204364,30901.36938,87594,4905.064705,8682.674589,133089.3966,275741.7893,7448.012489,767.9112339,124796.8805,796105
IMALU,IMALU,女性,0.2,-5.5,5.5,83.4,11,38867,45,256,-0.2,-0.2,5.7,77.9,5.5,77.7,-7,-91,14,23,49,146,37,195,9.50E-10,3.41E-05,18.61357307,289523.1358,43.20150356,22377.55302,53341.33221,13374.59026,1205.171068,34727.85281,111943,8300.244882,13605.41517,130685.9881,273011.5581,7216.829257,1050.448115,126975.2183,772767
LiLiCo,LiLiCo,女性,0.2,1.4,20.7,86.9,23,52839,35,150,2.6,-1.6,20.9,88.3,23.5,86.7,-3,54,11,10,67,33,21,100,7.78E-179,2.87E-05,13.67940401,205978.1227,24.85869375,27558.03398,65364.30588,14700.63146,742.0733097,41452.62528,138273,7945.593511,11425.00592,211958.2991,441268.2176,10324.63079,696.8782828,202122.1023,1259621
MEGUMI,MEGUMI,女性,5.7,-2.1,10.8,77.5,12,149880,0,0,0.8,-1.9,16.5,75.4,17.3,73.5,0,0,0,0,0,0,0,0,3.06E-08,0.000544666835,0,0,0,72903.35676,167306.2745,19030.55373,1618.854397,99247.27436,380308,23413.12774,29385.33371,221842.7892,470423.0013,30152.85484,4132.696244,230405.262,1292977
SHELLY,SHELLY,女性,2.8,0,18.8,84.2,13,34482,4,35,-2.8,-4,21.6,84.2,18.8,80.2,1,11,2,1,15,10,3,25,5.31E-09,2.05E-05,3.168121116,67011.11293,7.300031627,23485.36842,54142.99455,7138.123255,772.4118536,32645.09176,122049,9617.500151,11985.7537,248616.5636,521342.5715,35940.9028,1812.900906,244727.3456,1470412
YOU_(タレント),YOU_(タレント),女性,-0.4,-1,22.3,89,9,37380,57,600,4.1,-1.3,21.9,88,26,86.7,-3,44,4,8,71,52,12,123,3.01E-08,0.0004058834699,40.95255454,622651.3562,60.40887708,36829.64504,86977.72954,18551.32304,1424.15029,55147.5918,186038,6330.77603,8105.329562,324136.3934,679747.7727,23986.84944,1839.575608,318811.2867,1908688
あばれる君,あばれる君,男性,6.5,2.7,16.3,92,12,31146,14,64,-0.1,-0.9,22.8,94.7,22.7,93.8,10,45,7,1,40,12,8,52,0,5.83E-06,7.163338829,100930.8338,13.2074886,19792.42971,46663.26043,10083.70434,894.1876019,29607.67363,100304,5994.191233,9044.325427,171688.9601,358043.2941,11374.74032,1718.156535,165925.5994,1018147
いとうあさこ,いとうあさこ,女性,4.6,-1.4,35.6,96.3,9,38475,18,234,-4.1,0,40.2,94.9,36.1,94.9,8,12,8,3,60,73,11,133,3.17E-08,0.000360400325,19.258655,431801.0766,54.12185117,30600.74066,71488.84148,13972.8734,833.7414688,44053.31189,156650,9038.778167,11995.22709,297084.1223,630810.5336,53251.40341,16692.55797,322329.2303,1737756
