name,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3
3時のヒロイン,12,65939,53,238.0,0.1999999999999993,-0.6000000000000085,17.5,82.7,17.7,82.1,19.0,113.0,30.0,18.0,139.0,83.0,48.0,222.0,4.817943619501731e-09,0.0006872485580787967,21.823781914171533,444462.9355807337,48.054156414796324
Cocomi,14,181087,94,177.0,2.3000000000000003,8.700000000000003,3.9,54.0,6.2,62.7,106.0,142.0,80.0,14.0,138.0,36.0,94.0,174.0,8.193452319497958e-10,1.4203717898451248e-05,12.569803273336957,402867.64079973224,39.4880963864203
DAIGO,2,14426,12,242.0,-4.0,-0.5999999999999943,33.6,95.6,29.6,95.0,8.0,133.0,9.0,3.0,146.0,50.0,12.0,196.0,5.899215534178694e-08,0.0011509351336392068,19.63424171082374,499995.3645982986,44.510459131298134
EXIT_(お笑いコンビ),15,73693,102,364.0,-1.1999999999999993,-0.6999999999999886,32.0,88.1,30.8,87.4,106.0,365.0,81.0,19.0,294.0,67.0,100.0,361.0,7.12515460180094e-10,5.918690879160845e-05,31.513346937437948,769861.1061428612,76.53433541472327
HIKAKIN,2,15019,15,208.0,-5.300000000000001,-1.0999999999999943,19.8,88.5,14.5,87.4,8.0,119.0,7.0,7.0,118.0,85.0,14.0,203.0,1.8872714854909925e-292,0.0006048415627755797,14.361201219232623,373626.5928954962,36.76433079784172
IKKO,9,23170,19,71.0,-0.1999999999999993,-0.9000000000000057,29.0,98.4,28.8,97.5,11.0,34.0,12.0,6.0,41.0,24.0,18.0,65.0,0.0,2.18811345665028e-05,5.6065680197365735,135252.948217946,15.314460804825647
IMALU,11,38867,45,256.0,-0.20000000000000018,-0.20000000000000284,5.7,77.9,5.5,77.7,-7.0,-91.0,14.0,23.0,49.0,146.0,37.0,195.0,9.503392090912201e-10,3.4059069999332794e-05,18.613573074421705,289523.13584099663,43.201503556617496
JO1,12,320352,67,509.0,1.5999999999999996,2.5,2.5,37.5,4.1,40.0,140.0,1116.0,65.0,2.0,486.0,23.0,67.0,509.0,0.0,0.01188794920707882,41.65958042336144,951468.4414719737,85.19700776478524
LiLiCo,23,52839,35,150.0,2.6000000000000014,-1.5999999999999943,20.9,88.3,23.5,86.7,-3.0,54.0,11.0,10.0,67.0,33.0,21.0,100.0,7.777515305889965e-179,2.872375419774314e-05,13.67940400663021,205978.12274888405,24.858693750232977
MEGUMI,12,149880,0,0.0,0.8000000000000007,-1.9000000000000057,16.5,75.4,17.3,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.057109461306383e-08,0.0005446668350372702,0,0,0
RIKACO,9,24263,12,57.0,1.5999999999999996,-0.7000000000000028,8.8,76.5,10.4,75.8,0.0,43.0,4.0,5.0,42.0,11.0,9.0,53.0,6.7798156349067755e-09,6.675371925333415e-05,4.670864905746415,155820.7482404042,14.850837085703406
SHELLY,13,34482,4,35.0,-2.8000000000000007,-4.0,21.6,84.2,18.8,80.2,1.0,11.0,2.0,1.0,15.0,10.0,3.0,25.0,5.3094968073915455e-09,2.0455484499288372e-05,3.1681211164116125,67011.11292739776,7.30003162720095
YOU_(タレント),9,37380,57,600.0,4.100000000000001,-1.2999999999999972,21.9,88.0,26.0,86.7,-3.0,44.0,4.0,8.0,71.0,52.0,12.0,123.0,3.006639531808217e-08,0.00040588346994607235,40.952554544466814,622651.3561714292,60.408877080874646
あばれる君,12,31146,14,64.0,-0.10000000000000142,-0.9000000000000057,22.8,94.7,22.7,93.8,10.0,45.0,7.0,1.0,40.0,12.0,8.0,52.0,0.0,5.830734347212943e-06,7.163338828614369,100930.83380744504,13.207488603649283
いとうあさこ,9,38475,18,234.0,-4.100000000000001,0.0,40.2,94.9,36.1,94.9,8.0,12.0,8.0,3.0,60.0,73.0,11.0,133.0,3.174055906471117e-08,0.000360400324981277,19.258654997247625,431801.0766440856,54.12185117479723
おぎやはぎ,9,19291,30,189.0,-4.899999999999999,0.0,32.0,93.1,27.1,93.1,1.0,70.0,12.0,11.0,104.0,45.0,23.0,149.0,8.57372491805486e-08,0.0007505871312820405,16.088855388925978,319727.0520168492,38.30223744148101
