name,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3,weightedPV1,weightedPV2,weightedPV3,weightedPV4,weightedPV5,allPV,burst_weightedPV1,burst_weightedPV5
3時のヒロイン,12,65939,53,238.0,0.1999999999999993,-0.6000000000000085,17.5,82.7,17.7,82.1,19.0,113.0,30.0,18.0,139.0,83.0,48.0,222.0,4.817943619501731e-09,0.0006872485580787967,21.823781914171533,444462.9355807337,48.054156414796324,82358.63720787657,195129.17419563982,42482.395654645275,2604.5070255578285,123910.09525175033,413953,10339.607862673201,16396.985560836
Cocomi,14,181087,94,177.0,2.3000000000000003,8.700000000000003,3.9,54.0,6.2,62.7,106.0,142.0,80.0,14.0,138.0,36.0,94.0,174.0,8.193452319497958e-10,1.4203717898451248e-05,12.569803273336957,402867.64079973224,39.4880963864203,84771.17959080987,204719.4092527518,57782.301671582456,2805.9427342549725,134644.44638348333,415808,29902.12588404811,46067.19899404564
DAIGO,2,14426,12,242.0,-4.0,-0.5999999999999943,33.6,95.6,29.6,95.0,8.0,133.0,9.0,3.0,146.0,50.0,12.0,196.0,5.899215534178694e-08,0.0011509351336392068,19.63424171082374,499995.3645982986,44.510459131298134,58888.057230242805,140506.03974427728,35572.257446997864,3426.0762196391006,91884.84865280989,294317,2967.8558292549133,5050.7801171271685
EXIT_(お笑いコンビ),15,73693,102,364.0,-1.1999999999999993,-0.6999999999999886,32.0,88.1,30.8,87.4,106.0,365.0,81.0,19.0,294.0,67.0,100.0,361.0,7.12515460180094e-10,5.918690879160845e-05,31.513346937437948,769861.1061428612,76.53433541472327,40756.07304481666,97544.68497997992,24722.274267430206,7526.607056904657,69453.08961132834,204739,11409.101614311254,26021.984976811866
HIKAKIN,2,15019,15,208.0,-5.300000000000001,-1.0999999999999943,19.8,88.5,14.5,87.4,8.0,119.0,7.0,7.0,118.0,85.0,14.0,203.0,1.8872714854909925e-292,0.0006048415627755797,14.361201219232623,373626.5928954962,36.76433079784172,79795.82693834616,188840.64627991596,43910.845058846025,3680.37930548239,120746.96438763138,402639,2093.0912430211656,3132.0405065052037
IKKO,9,23170,19,71.0,-0.1999999999999993,-0.9000000000000057,29.0,98.4,28.8,97.5,11.0,34.0,12.0,6.0,41.0,24.0,18.0,65.0,0.0,2.18811345665028e-05,5.6065680197365735,135252.948217946,15.314460804825647,17962.919380801704,43904.226777785414,15268.576523107617,2058.2043635109803,30901.369381016728,87594,4905.064705248524,8682.674589234526
IMALU,11,38867,45,256.0,-0.20000000000000018,-0.20000000000000284,5.7,77.9,5.5,77.7,-7.0,-91.0,14.0,23.0,49.0,146.0,37.0,195.0,9.503392090912201e-10,3.4059069999332794e-05,18.613573074421705,289523.13584099663,43.201503556617496,22377.55302021771,53341.332214097805,13374.590259301533,1205.1710681903799,34727.85281422106,111943,8300.24488167381,13605.415173810523
JO1,12,320352,67,509.0,1.5999999999999996,2.5,2.5,37.5,4.1,40.0,140.0,1116.0,65.0,2.0,486.0,23.0,67.0,509.0,0.0,0.01188794920707882,41.65958042336144,951468.4414719737,85.19700776478524,148192.53093465028,358564.1190629269,103322.16000243952,7262.026123043616,238750.40455685568,726566,62176.00205949042,105586.94311173486
LiLiCo,23,52839,35,150.0,2.6000000000000014,-1.5999999999999943,20.9,88.3,23.5,86.7,-3.0,54.0,11.0,10.0,67.0,33.0,21.0,100.0,7.777515305889965e-179,2.872375419774314e-05,13.67940400663021,205978.12274888405,24.858693750232977,27558.03398498219,65364.305880446576,14700.6314576051,742.0733096707611,41452.62527682643,138273,7945.593511401889,11425.005924364092
MEGUMI,12,149880,0,0.0,0.8000000000000007,-1.9000000000000057,16.5,75.4,17.3,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.057109461306383e-08,0.0005446668350372702,0,0,0,72903.35675925745,167306.27449849664,19030.553728032453,1618.8543972074708,99247.27435998792,380308,23413.127743517623,29385.3337075373
RIKACO,9,24263,12,57.0,1.5999999999999996,-0.7000000000000028,8.8,76.5,10.4,75.8,0.0,43.0,4.0,5.0,42.0,11.0,9.0,53.0,6.7798156349067755e-09,6.675371925333415e-05,4.670864905746415,155820.7482404042,14.850837085703406,17581.488941728392,41948.06366665325,11284.958383554422,916.0368722173383,27320.72530406461,87908,4730.9998699566395,6989.59380444699
SHELLY,13,34482,4,35.0,-2.8000000000000007,-4.0,21.6,84.2,18.8,80.2,1.0,11.0,2.0,1.0,15.0,10.0,3.0,25.0,5.3094968073915455e-09,2.0455484499288372e-05,3.1681211164116125,67011.11292739776,7.30003162720095,23485.36842080423,54142.99454984542,7138.12325531834,772.4118536358883,32645.091756258862,122049,9617.50015078948,11985.753697187649
YOU_(タレント),9,37380,57,600.0,4.100000000000001,-1.2999999999999972,21.9,88.0,26.0,86.7,-3.0,44.0,4.0,8.0,71.0,52.0,12.0,123.0,3.006639531808217e-08,0.00040588346994607235,40.952554544466814,622651.3561714292,60.408877080874646,36829.64503717711,86977.7295367446,18551.32304180624,1424.150290438587,55147.59179785874,186038,6330.776030261176,8105.329561668547
あばれる君,12,31146,14,64.0,-0.10000000000000142,-0.9000000000000057,22.8,94.7,22.7,93.8,10.0,45.0,7.0,1.0,40.0,12.0,8.0,52.0,0.0,5.830734347212943e-06,7.163338828614369,100930.83380744504,13.207488603649283,19792.429707112642,46663.26043361365,10083.704343106643,894.1876019304909,29607.673632033737,100304,5994.191233329669,9044.325426574645
いとうあさこ,9,38475,18,234.0,-4.100000000000001,0.0,40.2,94.9,36.1,94.9,8.0,12.0,8.0,3.0,60.0,73.0,11.0,133.0,3.174055906471117e-08,0.000360400324981277,19.258654997247625,431801.0766440856,54.12185117479723,30600.74066156587,71488.84148152472,13972.873397594492,833.7414688272779,44053.311891583115,156650,9038.77816683412,11995.227086443963
おぎやはぎ,9,19291,30,189.0,-4.899999999999999,0.0,32.0,93.1,27.1,93.1,1.0,70.0,12.0,11.0,104.0,45.0,23.0,149.0,8.57372491805486e-08,0.0007505871312820405,16.088855388925978,319727.0520168492,38.30223744148101,22619.734622156608,53203.80611641282,10471.594875982539,843.2033084721187,33446.346945719255,114809,3437.6201164254335,4617.728833905272
おのののか,12,47782,23,104.0,0.6000000000000005,4.400000000000006,5.1,70.3,5.7,74.7,-1.0,25.0,7.0,10.0,37.0,25.0,17.0,62.0,0.0,2.3648212999140854e-06,7.206812778111404,160956.6828117767,18.413986639961266,20217.23747944613,50690.08731555493,26400.926425217127,1449.3815641588856,36123.96411553782,95745,11220.361368273618,22247.65571782875
かたせ梨乃,11,37731,10,62.0,2.700000000000001,-0.7000000000000028,15.4,77.0,18.1,76.3,1.0,7.0,3.0,4.0,18.0,22.0,7.0,40.0,0.0,1.5404819281382645e-05,5.760460185781288,101746.16084616176,11.642347900134768,32406.022566294785,77912.96618267715,20535.25640043326,2277.799730235518,52041.161088991714,160393,8473.627335512558,14206.743025025251
かまいたち_(お笑いコンビ),4,26001,23,585.0,-0.6000000000000014,-1.4000000000000057,37.9,94.0,37.3,92.6,16.0,443.0,15.0,7.0,420.0,136.0,22.0,556.0,4.766334137439599e-08,0.0024187436431742176,44.252343405108476,1013181.094235393,117.63831603427742,90546.81536360888,218252.90435925333,64871.09769619583,5585.226186788013,145509.57740049018,447250,6284.309043451789,12298.701311896973
きゃりーぱみゅぱみゅ,6,41042,27,220.0,3.0,0.8999999999999915,12.6,92.4,15.6,93.3,20.0,67.0,16.0,6.0,95.0,66.0,22.0,161.0,4.3419098985549044e-08,0.0004626857610533973,13.942133612730043,335193.59136571817,36.73836319838179,35294.98131760175,84951.23820265608,25637.66205535156,2072.8479269136187,56374.58910863599,174743,8598.975220837012,15106.458873655305
くっきー!,6,17201,22,273.0,-2.5,1.0,21.1,88.0,18.6,89.0,7.0,-40.0,9.0,8.0,65.0,144.0,17.0,209.0,2.2892512270990194e-08,0.00035754983336846086,22.74442238486838,368254.3185230168,44.05011685078824,24714.053630754803,58833.203030598175,14840.694506219013,1127.3940767583872,38000.35952068212,123798,3480.8182934800284,5182.658325846862
さまぁ〜ず,5,9361,16,236.0,-3.5,1.3999999999999915,36.6,92.9,33.1,94.3,8.0,81.0,8.0,2.0,109.0,52.0,10.0,161.0,1.8873249092961218e-07,0.0008470300837011777,20.69528707641511,449417.48030288675,48.22285241483318,23462.35595757808,55671.823717807405,12534.33414949791,1177.730697978769,35876.9573369685,117928,2069.565814080913,2819.8653836204608
つるの剛士,7,12207,27,222.0,0.9000000000000004,1.0999999999999943,9.9,89.9,10.8,91.0,41.0,138.0,23.0,4.0,115.0,57.0,27.0,172.0,1.54006447326046e-08,0.00012037359508451746,18.565500518620475,468747.4811452712,44.76851172629806,17639.738050762695,41504.79852837022,8692.755419150692,901.9104769091055,26342.519779785758,89676,2843.8527723948837,4670.130807436148
でんでん,5,8521,2,54.0,1.4000000000000004,5.5,6.9,58.2,8.3,63.7,0.0,42.0,1.0,1.0,31.0,6.0,2.0,37.0,0.0,4.464383709884738e-06,5.631460724036132,73311.21409977491,8.873563434602298,16215.460301886907,38169.35749731623,7034.532016455517,614.2072154295392,24048.13781245548,82139,1707.2433870877862,2238.4999196495405
ともさかりえ,9,64444,51,80.0,1.4000000000000004,1.0999999999999943,8.0,75.4,9.4,76.5,55.0,67.0,43.0,6.0,53.0,12.0,49.0,65.0,2.326102496979095e-08,0.00015047895503487102,6.122215633965067,190378.8667038432,17.33485198032511,31840.21861538706,77726.0957868252,26649.596764181028,2150.9122080031902,53058.543560236634,154986,13025.433572970593,23701.40131879633
なえなの,17,28559,58,249.0,-0.5,4.600000000000001,3.2,17.7,2.7,22.3,15.0,87.0,18.0,16.0,97.0,72.0,34.0,169.0,0.0,5.292729183664536e-05,19.58103475779598,496848.4680023233,46.0942199402884,20488.567369243057,49733.181718817505,16712.890877560498,1637.7971006472073,33865.44433840125,100729,6491.477752313127,11981.334118152912
