name,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count
3時のヒロイン,12,65939,53,238.0,0.1999999999999993,-0.6000000000000085,17.5,82.7,17.7,82.1,19.0,113.0,30.0,18.0,139.0,83.0,48.0,222.0
Cocomi,14,181087,94,177.0,2.3000000000000003,8.700000000000003,3.9,54.0,6.2,62.7,106.0,142.0,80.0,14.0,138.0,36.0,94.0,174.0
DAIGO,2,14426,12,242.0,-4.0,-0.5999999999999943,33.6,95.6,29.6,95.0,8.0,133.0,9.0,3.0,146.0,50.0,12.0,196.0
EXIT_(お笑いコンビ),15,73693,102,364.0,-1.1999999999999993,-0.6999999999999886,32.0,88.1,30.8,87.4,106.0,365.0,81.0,19.0,294.0,67.0,100.0,361.0
HIKAKIN,2,15019,15,208.0,-5.300000000000001,-1.0999999999999943,19.8,88.5,14.5,87.4,8.0,119.0,7.0,7.0,118.0,85.0,14.0,203.0
IKKO,9,23170,19,71.0,-0.1999999999999993,-0.9000000000000057,29.0,98.4,28.8,97.5,11.0,34.0,12.0,6.0,41.0,24.0,18.0,65.0
IMALU,11,38867,45,256.0,-0.20000000000000018,-0.20000000000000284,5.7,77.9,5.5,77.7,-7.0,-91.0,14.0,23.0,49.0,146.0,37.0,195.0
JO1,12,320352,67,509.0,1.5999999999999996,2.5,2.5,37.5,4.1,40.0,140.0,1116.0,65.0,2.0,486.0,23.0,67.0,509.0
LiLiCo,23,52839,35,150.0,2.6000000000000014,-1.5999999999999943,20.9,88.3,23.5,86.7,-3.0,54.0,11.0,10.0,67.0,33.0,21.0,100.0
MEGUMI,12,149880,0,0.0,0.8000000000000007,-1.9000000000000057,16.5,75.4,17.3,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIKACO,9,24263,12,57.0,1.5999999999999996,-0.7000000000000028,8.8,76.5,10.4,75.8,0.0,43.0,4.0,5.0,42.0,11.0,9.0,53.0
SHELLY,13,34482,4,35.0,-2.8000000000000007,-4.0,21.6,84.2,18.8,80.2,1.0,11.0,2.0,1.0,15.0,10.0,3.0,25.0
YOU_(タレント),9,37380,57,600.0,4.100000000000001,-1.2999999999999972,21.9,88.0,26.0,86.7,-3.0,44.0,4.0,8.0,71.0,52.0,12.0,123.0
あばれる君,12,31146,14,64.0,-0.10000000000000142,-0.9000000000000057,22.8,94.7,22.7,93.8,10.0,45.0,7.0,1.0,40.0,12.0,8.0,52.0
いとうあさこ,9,38475,18,234.0,-4.100000000000001,0.0,40.2,94.9,36.1,94.9,8.0,12.0,8.0,3.0,60.0,73.0,11.0,133.0
おぎやはぎ,9,19291,30,189.0,-4.899999999999999,0.0,32.0,93.1,27.1,93.1,1.0,70.0,12.0,11.0,104.0,45.0,23.0,149.0
おのののか,12,47782,23,104.0,0.6000000000000005,4.400000000000006,5.1,70.3,5.7,74.7,-1.0,25.0,7.0,10.0,37.0,25.0,17.0,62.0
かたせ梨乃,11,37731,10,62.0,2.700000000000001,-0.7000000000000028,15.4,77.0,18.1,76.3,1.0,7.0,3.0,4.0,18.0,22.0,7.0,40.0
かまいたち_(お笑いコンビ),4,26001,23,585.0,-0.6000000000000014,-1.4000000000000057,37.9,94.0,37.3,92.6,16.0,443.0,15.0,7.0,420.0,136.0,22.0,556.0
きゃりーぱみゅぱみゅ,6,41042,27,220.0,3.0,0.8999999999999915,12.6,92.4,15.6,93.3,20.0,67.0,16.0,6.0,95.0,66.0,22.0,161.0
くっきー!,6,17201,22,273.0,-2.5,1.0,21.1,88.0,18.6,89.0,7.0,-40.0,9.0,8.0,65.0,144.0,17.0,209.0
さまぁ〜ず,5,9361,16,236.0,-3.5,1.3999999999999915,36.6,92.9,33.1,94.3,8.0,81.0,8.0,2.0,109.0,52.0,10.0,161.0
つるの剛士,7,12207,27,222.0,0.9000000000000004,1.0999999999999943,9.9,89.9,10.8,91.0,41.0,138.0,23.0,4.0,115.0,57.0,27.0,172.0
でんでん,5,8521,2,54.0,1.4000000000000004,5.5,6.9,58.2,8.3,63.7,0.0,42.0,1.0,1.0,31.0,6.0,2.0,37.0
ともさかりえ,9,64444,51,80.0,1.4000000000000004,1.0999999999999943,8.0,75.4,9.4,76.5,55.0,67.0,43.0,6.0,53.0,12.0,49.0,65.0
なえなの,17,28559,58,249.0,-0.5,4.600000000000001,3.2,17.7,2.7,22.3,15.0,87.0,18.0,16.0,97.0,72.0,34.0,169.0
