name,name2,202208人気度,202208知名度,202302人気度,202302知名度,202208DA,202209DA,202210DA,202211DA,202212DA,202301DA,202302DA,202208BR,202209BR,202210BR,202211BR,202212BR,202301BR,202302BR
哀川翔,哀川翔,18.1,89.9,18.6,90.8,12749,31465,29132,11500,17867,12961,9921,0.0003365870614,0.00156047934,0.001495571454,0.0003871404194,0.0005370421868,0.0001991664086,0.000232660976
相葉雅紀,相葉雅紀,47.6,96.3,43.9,94.7,32110,21994,22885,12688,12520,16561,17850,0.0006905408764,0.0004734290321,0.0004611972505,0.0002546446272,0.0002370327116,0.0002454168067,0.0006008053651
青木崇高,青木崇高,11.2,52.9,10.4,52.2,7913,11622,9925,6704,7677,8845,9886,0.0002360447639,0.0004400730331,0.0005270780004,0.0002143772865,0.0002302363278,0.0002908819529,0.0005009303556
青柳翔,青柳翔,1.4,15,2.1,12,3104,2431,2344,1904,9209,19518,7662,1.18E-05,9.25E-06,5.82E-06,9.19E-06,6.12E-05,0.0001135029338,6.01E-05
明石家さんま,明石家さんま,52.7,98.6,46.5,97.7,29622,25059,39043,43677,36966,45741,34895,0.001816798723,0.001741904881,0.003282261469,0.004938200926,0.003795732785,0.002906410997,0.003693134807
赤楚衛二,赤楚衛二,10.3,29.9,16.5,36.6,286993,93094,141650,92535,113454,101870,696348,0.01333265869,0.001861041429,0.004617900557,0.002048186393,0.002626890379,0.001338666062,0.1022413911
秋山竜次,秋山竜次,37.2,92.4,32.7,91.9,16387,15334,9423,6951,12555,11349,7220,4.01E-05,3.78E-05,1.72E-05,9.30E-06,3.03E-05,1.53E-05,1.36E-05
浅野忠信,浅野忠信,17.2,80.2,20.2,80.9,192519,58302,17215,9246,7331,8033,8566,0.01070191359,0.00210966561,0.0004091000713,0.0001514726907,0.0001705685314,6.23E-05,0.0001139915777
浅利陽介,浅利陽介,14.7,71.2,15.4,72.2,31176,24082,8911,10541,4802,8481,7207,0.0003780121601,0.0001807841419,6.81E-05,0.0001091775012,3.35E-05,4.29E-05,4.93E-05
厚切りジェイソン,厚切りジェイソン,19.8,90.4,19.5,89.6,21941,12802,8827,7889,8365,9191,9541,6.47E-05,2.28E-05,1.18E-05,1.20E-05,1.24E-05,8.20E-06,1.85E-05
あばれる君,あばれる君,22.8,94.7,22.7,93.8,25335,9445,12633,10370,9347,15258,10536,0.0001622867956,2.83E-05,2.42E-05,0.0001264082088,4.93E-05,4.83E-05,4.28E-05
阿部サダヲ,阿部サダヲ,32.4,89.6,35.2,91.3,18147,32471,47520,8048,10333,12736,50039,9.57E-05,0.000289818811,0.0004653493695,2.70E-05,5.39E-05,4.37E-05,0.0009790220811
阿部寛,阿部寛,53.6,96.1,55.2,96.3,99764,52330,40180,22903,24263,35006,51271,0.002538241417,0.001232667014,0.001177604074,0.0004727880925,0.0006267709182,0.0004707040113,0.001419553317
天野ひろゆき,天野ひろゆき,15.6,89.2,15.8,90.6,6649,5907,11052,9545,10361,8956,10470,0.0001929924702,0.000176185792,0.0003947334487,0.0003971492783,0.0003177335505,0.0002226206881,0.0004348617642
綾野剛,綾野剛,24.1,87.1,23.2,88.7,44228,35429,20792,19576,24157,81132,26637,0.0006174673985,0.0007105598001,0.0002524965934,0.0003874986406,0.001628299521,0.01132171624,0.002284224747
荒川良々,荒川良々,11,72.7,13.5,75.6,5553,5976,5725,4213,5919,11287,19751,4.14E-06,7.05E-06,9.30E-06,6.49E-06,1.50E-05,2.48E-05,0.000156825535
荒木飛羽,荒木飛羽,0.5,6.7,1.9,7.6,5106,19878,15729,34170,45957,13135,5881,3.50E-06,5.50E-05,3.75E-05,0.0002246233667,0.0003732897567,1.67E-05,7.01E-06
新田真剣佑,新田真剣佑,15.6,73.3,17,74.7,29688,22914,55325,33356,32243,129633,23401,0.001540232444,0.0008464647861,0.004415259528,0.003175034177,0.002308805767,0.01186517306,0.001310121387
有岡大貴,有岡大貴,8.7,53.1,9.9,57.3,11901,8692,6220,8426,6924,9758,5377,0.0005018318036,0.0002598437821,0.0002535566018,0.0003419088319,0.0002568002586,0.0002751372262,0.0002604560748
有田哲平,有田哲平,33.5,96.3,32.4,95.9,17618,15164,14384,21252,16172,16300,15247,0.0003806436419,0.0004216368836,0.0005340020881,0.0005897294082,0.0004808683265,0.000293367459,0.0007870428495
有吉弘行,有吉弘行,42.1,98.2,39.5,98.8,34889,48729,24400,24364,41586,53479,31396,0.002077684864,0.003199860543,0.0009478896809,0.001281181277,0.002262426846,0.002314754137,0.001777025103
飯尾和樹,飯尾和樹,38.2,91.3,39.6,92,14105,24780,13437,8346,9285,12729,16205,0.0001640152059,0.0003103655738,0.000127352852,9.66E-05,8.63E-05,0.0001035586022,0.0002304714629
井浦新,井浦新,14.3,53.5,21.2,58.6,19593,23413,19812,72807,21882,40273,25440,5.16E-05,7.95E-05,7.31E-05,0.001187243789,0.0001064000686,0.0002110808585,0.0003013982497
生田斗真,生田斗真,29.4,85.7,31.5,84.8,25366,22497,32485,41549,22452,23691,105746,0.0019012596,0.001705752503,0.003992003191,0.005485437538,0.002057411997,0.001305970942,0.01480652251
池松壮亮,池松壮亮,6.2,42.3,8.3,52.2,10937,67580,14752,14226,11016,31212,12357,0.0003452695203,0.005285164579,0.0004714209654,0.000607081935,0.0003097805236,0.0007308609437,0.0004841426176
伊沢拓司,伊沢拓司,15.8,72.2,13.1,75,31468,37912,24455,12218,16559,17397,12605,0.0001330107653,0.0002000581648,9.06E-05,2.87E-05,4.85E-05,2.94E-05,3.22E-05
石塚英彦,石塚英彦,28.8,94.9,26.9,93.5,6422,5881,5337,6609,6865,6013,5295,0.0001055129811,9.87E-05,6.46E-05,0.000101347651,0.0001103786492,5.22E-05,8.68E-05
石橋貴明,石橋貴明,20,91.9,18.1,92.2,18773,17544,22829,20485,13062,21014,9952,0.0008792929735,0.0007594897246,0.0007540767721,0.0008523577856,0.0003866246879,0.0005276127904,0.0003723764637
石原良純,石原良純,20.5,94.7,17,93.3,13353,10811,11753,21896,11864,9456,11605,4.15E-05,3.83E-05,4.20E-05,0.0001293016484,6.16E-05,1.77E-05,5.40E-05
石丸幹二,石丸幹二,10.3,60.7,11,61.9,15193,15453,15860,11797,16199,8999,8285,4.80E-05,4.63E-05,4.95E-05,3.80E-05,6.68E-05,1.57E-05,3.30E-05
伊集院光,伊集院光,20.2,90.3,16.3,90.6,23644,31856,35166,16311,13478,17184,26147,0.0001136920293,0.0002280742551,0.0002773013812,8.70E-05,8.08E-05,5.17E-05,0.0002624987577
泉澤祐希,泉澤祐希,1.8,17.9,2.1,20.7,37665,3747,10318,9944,7086,15782,15408,0.0001905568007,1.95E-06,1.72E-05,1.90E-05,9.92E-06,2.42E-05,4.81E-05
磯村勇斗,磯村勇斗,13.1,48,15.8,49.9,87392,36215,16907,15892,15534,20248,26053,0.002861959514,0.0002086828794,7.13E-05,6.99E-05,5.38E-05,6.06E-05,0.0002350620015
板尾創路,板尾創路,12.9,78.6,12.6,83.5,14777,21203,6218,5361,4666,6235,8968,0.0001327058627,0.000161239706,3.47E-05,2.53E-05,2.94E-05,2.56E-05,8.06E-05
板垣瑞生,板垣瑞生,1.4,9.2,1.9,7.8,19233,12682,10834,9017,5737,7177,5811,8.10E-05,3.78E-05,5.43E-05,2.50E-05,1.09E-05,1.02E-05,2.33E-05
板垣李光人,板垣李光人,1.8,10.3,5,20.5,11759,39121,247320,85271,168683,84603,36693,2.58E-05,0.0003291392561,0.01188468711,0.002090872119,0.005763296566,0.0007149140307,0.0002728941284
市川猿之助_(4代目),市川猿之助,14.3,81.1,11,80.4,29533,47974,19099,14284,14049,18010,32255,0.004378717282,0.01116446463,0.001135827128,0.0009077112365,0.00080705372,0.0006338443189,0.0024039646
一ノ瀬颯,一ノ瀬颯,1.4,7.6,0.7,9.4,41604,12008,7399,4451,4188,26328,11777,0.0002324977127,2.01E-05,8.29E-06,3.81E-06,3.10E-06,6.73E-05,2.81E-05
市原隼人,市原隼人,19.5,79.6,24.1,84.2,46981,26045,29614,34407,21170,32003,17118,0.0006534622713,0.0003050693742,0.0007981674118,0.0007850616064,0.0004979974075,0.0002350381488,0.0001441154396
市村正親,市村正親,15,82.8,15.6,86.9,10778,5966,5704,7460,39138,39905,44496,0.000194047518,0.0001001643706,0.0001201254185,0.0001940180133,0.003078537779,0.001228129742,0.002326120074
IKKO,IKKO,29,98.4,28.8,97.5,8061,13525,7202,10153,6678,24622,10114,1.36E-05,2.89E-05,1.34E-05,2.63E-05,1.03E-05,6.27E-05,2.28E-05
井手上漠,井手上漠,1.8,12.9,1.4,15.8,40286,27385,31693,23428,38116,21656,16927,0.0002307594918,0.0001043826648,0.0001521341412,0.0001055930672,0.0002567777373,4.55E-05,0.0001380857433
伊藤あさひ,伊藤あさひ,0.7,3.5,0.4,6,2174,1675,1810,3115,3090,1835,3065,8.28E-06,3.30E-06,4.64E-06,6.81E-06,0.0001478424855,1.78E-06,1.02E-05
伊藤淳史,伊藤淳史,20.2,82.1,21.8,85.8,7055,6635,6901,11315,5733,18405,8056,0.000115945234,1.92E-05,1.97E-05,4.81E-05,5.81E-06,0.0003059114108,0.000188557465
伊藤英明,伊藤英明,18.4,82.7,25.3,86.5,15496,18423,17402,63615,11820,130295,49073,0.0003813928219,0.0001784264188,0.0001546751475,0.00151352703,9.55E-05,0.002716929786,0.001244314376
稲垣吾郎,稲垣吾郎,18.2,91.7,15.4,91.3,9135,7851,11933,12605,10217,15002,8780,0.0002241288079,0.0001758928971,0.0003284506559,0.0008311360684,0.0004441180999,0.0005871629368,0.0002817189168
稲葉友,稲葉友,2.8,15.9,2.1,17.9,14458,9226,15217,9572,13188,15317,9751,0.0001171332035,5.64E-05,6.98E-05,2.09E-05,6.60E-05,3.51E-05,4.47E-05
犬飼貴丈,犬飼貴丈,3.9,18.2,5,22.8,56330,45094,21732,16504,14062,31172,76902,0.0005571389849,0.000366897162,9.68E-05,9.58E-05,6.47E-05,0.0002319970602,0.001785959985
井上祐貴,井上祐貴,0.5,4.2,0.4,3.4,7014,6321,14634,6974,11365,34292,10464,1.15E-05,1.02E-05,3.24E-05,9.36E-06,2.28E-05,0.00011409845,2.22E-05
伊野尾慧,伊野尾慧,13.3,69.9,11.3,68.7,18419,11269,7422,7256,7354,9393,6600,0.0003936629395,0.0001513477445,8.06E-05,7.00E-05,5.63E-05,9.10E-05,9.25E-05
井ノ原快彦,井ノ原快彦,31.9,88.8,27.8,89.6,7876,6239,29390,40355,18885,21055,8256,0.0001732813548,6.89E-05,0.000719620616,0.001815789589,0.0004882669806,0.0004810949399,0.0001792351027
井之脇海,井之脇海,3.9,31,6.7,39.3,64762,153004,38907,42287,90023,8448,5256,0.0007874095471,0.003662517524,0.0007126853479,0.000992875321,0.001877089843,4.13E-05,4.29E-05
伊原剛志,伊原剛志,9.2,69.2,13.5,70.8,12372,16399,6858,9622,4934,7054,5817,2.06E-05,3.74E-05,7.12E-06,1.78E-05,4.30E-06,4.83E-06,6.86E-06
伊武雅刀,伊武雅刀,15.6,79.6,17,83.2,7913,14050,18058,5298,6314,13849,14779,2.76E-05,6.49E-05,9.77E-05,1.81E-05,2.05E-05,4.78E-05,9.33E-05
今井翼,今井翼,12,66.9,7.4,68.7,5620,4677,8478,25398,5038,9128,3032,2.39E-05,1.94E-05,3.54E-05,0.0002123963458,1.55E-05,2.48E-05,1.20E-05
今田耕司,今田耕司,29.2,96.1,26,95.4,12212,26750,23746,10151,14402,19949,37573,0.0007179763966,0.00143825348,0.00152324131,0.0004351523676,0.001084190326,0.0008562168014,0.003039374885
岩田剛典,岩田剛典,24.4,69.7,18.2,68,22863,16850,63489,29204,39011,18557,47740,0.0001818110551,0.0001002171386,0.001051618688,0.0003391921145,0.0005458543968,0.0001335110532,0.0009260721771
上田晋也,上田晋也,30.4,94.9,28.3,92.9,13507,15727,14100,12596,7996,11735,13926,0.000275838902,0.000449001717,0.0005090864933,0.0003082199829,0.0002220430248,0.0002078754392,0.0006740460179
ウエンツ瑛士,ウエンツ瑛士,20.2,93.1,16.5,94.2,13388,10799,13045,8105,6184,6426,6335,0.0001124521879,9.12E-05,0.0001395253829,9.69E-05,8.34E-05,2.83E-05,4.79E-05
宇梶剛士,宇梶剛士,17.7,79.8,14.9,81.1,17487,16822,18092,11429,16590,12842,10766,0.0005135567512,0.0006981041567,0.0006685241276,0.0005407060712,0.0007341584573,0.0003672513887,0.0005370413867
内野聖陽,内野聖陽,19.5,64.2,19.5,65,14009,16534,12597,37301,17597,22540,18663,0.0001366035471,0.0002716986943,6.81E-05,0.00054549165,0.0002136316956,0.0002131128293,0.0002081581026
内村光良,内村光良,48.8,96.8,46,96.1,28851,21489,17592,10254,12981,15579,13502,0.001756001356,0.0011769143,0.0009739637874,0.0004977097105,0.0008337675963,0.0005594535284,0.0006503003077
ウド鈴木,ウド鈴木,16.8,92.4,16.1,91.9,4955,6635,10460,3966,6719,7531,9572,0.0001289939477,0.0001886259216,0.0003566418605,0.0001585884121,0.0001880940764,0.000175671858,0.0003930461228
梅沢富美男,梅沢富美男,18.9,95,18.6,95.8,13395,15361,9207,12598,9007,24695,10749,4.07E-05,8.94E-05,4.21E-05,6.38E-05,3.72E-05,0.000108694121,4.23E-05
江口洋介,江口洋介,24.8,85,31.5,89.7,14766,18957,41066,15261,15361,13695,10884,0.0005191115982,0.0007554656682,0.002645691273,0.001485999332,0.0009566014596,0.0003666802579,0.0004614292672
柄本明,柄本明,25.7,84.2,23.9,87.1,17314,11148,13078,14446,10698,24753,14601,0.001033429831,0.0006301839721,0.0005543926388,0.001196053343,0.0006405488431,0.001506702494,0.001090387587
柄本佑,柄本佑,22.7,75.8,20.9,77.5,20914,13777,12135,38908,11801,55778,29752,0.002588632109,0.001622363131,0.00113263946,0.006631297406,0.001314647812,0.007830419011,0.005201440569
柄本時生,柄本時生,12.7,76.3,13.3,78.8,9967,6435,8796,12514,7435,24872,15722,0.000723936271,0.0004334627863,0.0004660968848,0.001251804301,0.0004862907549,0.002102084033,0.001523775901
遠藤憲一,遠藤憲一,41.6,92.4,39.1,91.5,10550,11378,13094,9869,10709,20839,32684,5.15E-05,5.36E-05,8.21E-05,3.28E-05,3.57E-05,6.94E-05,0.0002584202335
遠藤章造,遠藤章造,8.7,80.2,9.7,82.5,14900,7938,4874,10205,4893,5394,6672,0.0002111710561,9.43E-05,4.09E-05,0.0002774350575,5.50E-05,5.08E-05,0.0001403097493
及川光博,及川光博,25.5,89.6,26.9,89.9,26890,13263,41443,12912,13752,29367,11372,0.001251260506,0.0004146414469,0.002428077962,0.0005798760995,0.0005433036015,0.0008391678749,0.0004105678076
大泉洋,大泉洋,50.8,95.9,52.2,95.6,43615,40586,45138,53519,62589,48534,28401,0.002454063807,0.001598713717,0.004203983983,0.003015468691,0.005024958115,0.002470685818,0.001652936418
大倉孝二,大倉孝二,13.6,58.8,9.6,61.1,12631,8505,5433,3768,2225,2747,2144,2.14E-05,1.01E-05,4.47E-06,2.73E-06,8.75E-07,7.32E-07,9.32E-07
大倉忠義,大倉忠義,12.2,64.4,11.5,65.5,13296,10432,12850,11367,17013,16826,7715,0.0002337276059,0.0001337700966,0.0002555756338,0.0002141860013,0.0004318620568,0.0002441922243,0.0002711486796
大沢たかお,大沢たかお,20.2,79.3,23.4,83.2,22025,11867,10165,16143,23109,18789,11075,0.0001285927671,7.78E-05,7.56E-05,0.0001107535787,0.0002944724322,0.0001568356703,8.24E-05
太田光,太田光,20.5,91.5,13.5,92,14677,24071,12601,5262,13534,12155,13823,0.0001643170541,0.0004530173447,0.0002290625225,2.65E-05,0.0002425983601,0.0001595760603,0.0003397592463
大谷翔平,大谷翔平,59.5,96.5,55.8,97,337962,256626,212857,100473,85548,117335,117183,0.07099038635,0.03976975922,0.03070308164,0.009558080457,0.00593171136,0.005845663011,0.01294805458
大谷亮平,大谷亮平,15,71.3,13.3,69.7,35636,11660,11792,29067,7639,20163,8195,0.0002241527026,1.89E-05,2.11E-05,0.0001625419239,1.03E-05,5.26E-05,1.36E-05
大森南朋,大森南朋,16.5,72.2,17.5,75.9,137248,13765,10353,14827,14301,44886,84792,0.003154604914,6.66E-05,3.66E-05,8.07E-05,8.14E-05,0.0003017957848,0.00167238885
岡田圭右,岡田圭右,10.6,84.6,10.4,85.5,6312,9782,6280,6688,4994,8728,5046,5.95E-05,0.0001190543087,6.49E-05,7.77E-05,4.54E-05,4.95E-05,4.98E-05
岡田准一,岡田准一,36.8,90.8,40.9,93.1,31311,73094,29563,25580,20764,70052,42343,0.003580721776,0.01032167872,0.004061186026,0.0035524177,0.002948317899,0.007246608037,0.007002319049
岡田将生,岡田将生,22.8,75,21.4,78.6,13528,12794,48590,43798,53787,43914,13105,0.0001643457945,0.000133423533,0.0008575645776,0.001591125157,0.001506250958,0.000783502728,0.0005493769006
岡村隆史,岡村隆史,31.7,95.2,29.2,96.1,18295,20318,18144,19055,18904,28314,18509,0.0009537885627,0.0007068762376,0.0004904419677,0.0008739899555,0.0008267060374,0.0008958000477,0.001070329943
岡山天音,岡山天音,6.2,41.9,6.4,48.1,14783,26490,11204,5018,7319,19163,41517,0.0001102527974,0.0002135598641,0.0001097159258,3.66E-05,4.12E-05,6.78E-05,0.0004166307639
奥田瑛二,奥田瑛二,7.3,63.7,6.7,65.1,8329,6035,14520,7471,8782,15992,10420,0.0002803019525,0.0001813565381,0.0003456661185,0.0002909757478,0.0002538308704,0.0006089695268,0.0005575520774
奥平大兼,奥平大兼,1.6,10.1,0.5,8.1,2525,3418,3401,3572,3007,4465,2482,8.79E-06,1.38E-05,7.93E-06,0.0001247272943,0.0001291003313,0.0001017018758,4.88E-05
小栗旬,小栗旬,38.1,92.4,40.9,93.6,50483,31343,43599,42532,92160,82903,28197,0.005053069721,0.002251852493,0.004568559901,0.004980650121,0.01260804987,0.007667554925,0.002341432753
小澤征悦,小澤征悦,10.8,81.4,12.6,79.6,19249,22076,10658,7614,12156,13378,15695,0.0001620820145,0.0001572501291,6.59E-05,5.66E-05,6.98E-05,7.73E-05,0.0001548792394
織田裕二,織田裕二,22.1,88.3,20.9,89.2,18532,14176,15256,13071,13939,15242,22401,0.0001505270233,0.0001168972027,0.0001300493175,0.000116198472,0.0001651532063,0.0001338439319,0.0003169869441
オダギリジョー,オダギリジョー,23.5,87.4,26.5,88.1,14283,79031,35082,24815,24027,13793,13843,5.84E-05,0.004978782617,0.0003492700105,0.0003477273894,0.0001976290873,3.85E-05,8.34E-05
音尾琢真,音尾琢真,3.5,18.8,3,19.6,4139,3918,7705,4926,6223,11993,8843,0.0001137505493,8.14E-05,0.0003640743045,0.0001652316118,0.0002774904469,0.000354162177,0.0003144076115
尾上松也_(2代目),尾上松也,11.5,74.3,12.9,76.6,10618,25958,39226,22496,27069,16749,21247,8.99E-05,0.0002828030263,0.0004903966511,0.0005538405334,0.0004899077687,0.0001076645782,0.0003608625554
香川照之,香川照之,39.6,90.4,21.2,92.4,344728,576202,37766,21578,25513,18535,20660,0.06952455636,0.1652676144,0.002633318589,0.001536544644,0.001565263747,0.0007421976368,0.001635837765
賀来賢人,賀来賢人,33.6,85.3,35.2,85.1,29698,40092,18950,20758,27647,98924,34792,0.001711742945,0.002383226612,0.0009682038108,0.001696182199,0.001993129353,0.006823149228,0.002331688316
角田晃広,角田晃広,20.9,69,22.3,74.2,4183,3165,6998,5498,4598,10642,3980,4.28E-06,3.00E-06,1.10E-05,8.93E-06,6.73E-06,1.82E-05,6.09E-06
筧利夫,筧利夫,10.1,76.1,14.7,78.2,3391,3485,5013,8874,25685,9951,2974,2.19E-05,2.55E-05,4.77E-05,0.0001157430313,0.00036454766,7.50E-05,2.87E-05
風間俊介,風間俊介,22.8,83.5,31,87.6,41106,47252,33876,26852,37669,40081,18223,0.0007244228881,0.001014611424,0.0006953907211,0.0007675179274,0.0009579633997,0.0005587300973,0.0003617856527
笠松将,笠松将,3.4,29.2,2.7,27.3,33285,5682,5634,3970,12712,21973,20005,0.000148814631,4.49E-06,2.08E-05,6.45E-06,3.84E-05,5.63E-05,0.0001021547676
春日俊彰,春日俊彰,24.6,96.5,23.9,96.6,14265,13454,13565,13842,17824,18313,13133,0.000732100332,0.0004828649745,0.0008282083065,0.0005472878672,0.000832277607,0.0006337975835,0.0008099518789
カズレーザー,カズレーザー,33.6,96.1,34,96.8,35439,30143,52682,45326,37793,41550,35948,0.0001686985798,0.0001264665981,0.0004203630107,0.0003952389742,0.00025244424,0.0001675082382,0.0002619251588
加瀬亮,加瀬亮,8.3,53.6,10.3,59.3,10640,10239,8654,11562,12176,12335,9827,0.0003816540801,0.0002729132429,0.0002242450899,0.0002414818593,0.0003596301049,9.72E-05,0.0001205825496
片岡愛之助_(6代目),片岡愛之助,11.2,82.5,11.9,85.1,8201,7294,6459,6337,5364,9096,24975,0.0004646947082,0.0003157215807,0.0002222113059,0.0003687724436,0.0002799154222,0.0002500557221,0.001781215516
片桐仁,片桐仁,13.6,69.4,11.9,72,7541,6845,6101,4440,4265,11979,6712,7.64E-06,6.52E-06,5.64E-06,3.79E-06,3.21E-06,1.63E-05,1.09E-05
片寄涼太,片寄涼太,6.4,36.5,4.8,46,11999,5324,4790,20276,61379,323180,33872,1.93E-05,3.95E-06,4.95E-06,8.56E-05,0.004131309048,0.06192668613,0.003374726074
勝地涼,勝地涼,6.5,76.8,7.1,78.2,10019,4234,11068,10028,6002,37373,32269,0.0005261777704,0.0001135717822,0.0004076893238,0.0003289514454,0.0003063842788,0.001314958249,0.001075808518
勝俣州和,勝俣州和,13.3,85.1,12.2,87.1,13941,6908,6730,6529,7965,7975,8799,0.000159237795,9.19E-05,6.40E-05,7.75E-05,8.85E-05,6.05E-05,0.0001675204782
勝村政信,勝村政信,14,75.8,13.6,80.2,5482,14522,11941,17895,10921,7948,5553,2.48E-05,8.59E-05,8.92E-05,0.0001924786569,8.48E-05,4.82E-05,4.24E-05
加藤浩次,加藤浩次,20.5,92.4,21.6,92.7,33283,17227,12853,49306,17346,19891,16767,0.0004831602262,0.0002149206728,0.000133650203,0.0009863123276,0.0002296279874,0.0001910856799,0.0002406688137
加藤清史郎,加藤清史郎,10.3,72.9,9.9,74.5,40086,24896,15994,15167,5519,24439,6611,0.0002679487146,8.63E-05,4.38E-05,4.43E-05,5.38E-06,5.80E-05,8.86E-06
加藤諒,加藤諒,14.3,88,12.7,87.8,30267,7244,6509,7191,8077,7446,9193,0.0001230515993,7.30E-06,6.42E-06,9.95E-06,1.15E-05,5.38E-06,1.71E-05
香取慎吾,香取慎吾,28,95.6,25,95.9,16798,16173,13328,16527,18038,25231,14804,0.000578996048,0.0005734322616,0.0005197021595,0.001455888615,0.001192947512,0.001371366833,0.0007565400192
要潤,要潤,14.9,86,16.8,86,7038,5976,6070,7434,9278,7609,7043,6.65E-06,4.97E-06,5.58E-06,1.06E-05,1.52E-05,5.62E-06,1.01E-05
金子大地,金子大地,1.1,9,1.2,12.9,154140,43340,22097,13311,17886,7803,5001,0.003893453878,0.000389556924,7.40E-05,6.33E-05,0.0001708046322,2.31E-05,1.85E-05
金子ノブアキ,金子ノブアキ,6.4,41.2,6.7,43.7,8179,7550,6746,24413,9824,12944,7342,8.99E-06,7.93E-06,6.89E-06,0.0001146587695,1.71E-05,1.63E-05,1.09E-05
