name,人気度,知名度,DA,BR(順),BR(逆)
哀川翔,18.6,90.8,10018,0.0002227260428,0.0006139007167
相葉雅紀,43.9,94.7,15751,0.0002856465332,0.001135910769
青木崇高,10.4,52.2,13569,0.0003081337048,3.46E-05
青柳翔,2.1,12,21367,0.0001265243868,0.0001341315233
明石家さんま,46.5,97.7,57422,0.006645259355,0.009170248623
赤楚衛二,16.5,36.6,24646,0.0002934819169,0.0001786179712
秋山竜次,32.7,91.9,14115,3.37E-05,0.0001011879302
浅野忠信,20.2,80.9,17745,0.0003227771007,0.0003929701997
浅利陽介,15.4,72.2,12145,0.0001037997737,4.80E-05
厚切りジェイソン,19.5,89.6,7661,8.71E-06,1.09E-05
あばれる君,22.7,93.8,5601,4.66E-06,5.83E-06
阿部サダヲ,35.2,91.3,13161,0.0004352694072,0.003194839921
阿部寛,55.2,96.3,31600,0.0005747082737,0.0008211148046
天野ひろゆき,15.8,90.6,7802,0.0002065696932,0.0002179800727
綾野剛,23.2,88.7,23963,0.001651972952,0.001738340194
荒川良々,13.5,75.6,5833,5.05E-06,6.32E-06
荒木飛羽,1.9,7.6,2227,7.36E-07,9.22E-07
新田真剣佑,17,74.7,23916,0.0007685320952,0.0002599674241
有岡大貴,9.9,57.3,4111,8.88E-05,0.0002128323939
有田哲平,32.4,95.9,12678,0.0004828240422,0.0007342347236
有吉弘行,39.5,98.8,60461,0.00321713692,0.007685923659
飯尾和樹,39.6,92,6693,3.03E-05,0.0001043526756
井浦新,21.2,58.6,15521,0.0001276271232,0.0003910250996
生田斗真,31.5,84.8,17694,0.001000516398,0.0003956259499
池松壮亮,8.3,52.2,6795,0.0002438047407,0.0002301972154
伊沢拓司,13.1,75,16384,3.98E-05,4.99E-05
石塚英彦,26.9,93.5,4538,5.79E-05,1.14E-05
石橋貴明,18.1,92.2,11991,0.000379519255,0.0006534697089
石原良純,17,93.3,13607,6.67E-05,0.0002485861479
石丸幹二,11,61.9,21434,0.000103010671,9.72E-05
伊集院光,16.3,90.6,14358,6.14E-05,0.0002609252221
泉澤祐希,2.1,20.7,11713,2.04E-05,2.55E-05
磯村勇斗,15.8,49.9,31634,0.0002368084033,0.0005574284972
板尾創路,12.6,83.5,13783,0.0001556142152,0.0003091035524
板垣瑞生,1.9,7.8,4882,3.52E-05,8.99E-05
板垣李光人,5,20.5,48297,0.0003924009702,0.0007101611845
市川猿之助_(4代目),11,80.4,13921,0.0004681740179,0.0001418948494
市川染五郎_(8代目),3.9,43.9,5611,0.0002168208451,1.55E-05
市川團十郎_(13代目),11.7,86.9,12707,0.000210446653,0.000335905551
一ノ瀬颯,0.7,9.4,12369,2.27E-05,2.84E-05
市原隼人,24.1,84.2,28981,0.0002299871242,0.0006051209863
市村正親,15.6,86.9,7865,0.0001954333028,0.0002351102242
IKKO,28.8,97.5,8839,1.37E-05,2.19E-05
井手上漠,1.4,15.8,10614,2.00E-05,3.28E-05
伊藤あさひ,0.4,6,35512,0.001051187388,0.001272882337
伊藤淳史,21.8,85.8,6943,7.16E-06,8.96E-06
伊藤英明,25.3,86.5,8453,0.0001380845281,0.0001376480496
