name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
哀川翔,0.5,0.8999999999999915,61,73,67,6,18.1,89.9,18.6,90.8
相葉雅紀,-3.700000000000003,-1.5999999999999943,161,209,185,24,47.6,96.3,43.9,94.7
青木崇高,-0.7999999999999989,-0.6999999999999957,50,68,59,9,11.2,52.9,10.4,52.2
青柳翔,0.7000000000000002,-3.0,63,81,72,9,1.4,15,2.1,12
明石家さんま,-6.200000000000003,-0.8999999999999915,148,210,179,31,52.7,98.6,46.5,97.7
赤楚衛二,6.199999999999999,6.700000000000003,170,210,190,20,10.3,29.9,16.5,36.6
秋山竜次,-4.5,-0.5,111,149,130,19,37.2,92.4,32.7,91.9
浅野忠信,3.0,0.7000000000000028,81,93,87,6,17.2,80.2,20.2,80.9
浅利陽介,0.7000000000000011,1.0,44,56,50,6,14.7,71.2,15.4,72.2
厚切りジェイソン,-0.3000000000000007,-0.8000000000000114,38,66,52,14,19.8,90.4,19.5,89.6
あばれる君,-0.10000000000000142,-0.9000000000000057,59,79,69,10,22.8,94.7,22.7,93.8
阿部サダヲ,2.8000000000000043,1.7000000000000028,162,210,186,24,32.4,89.6,35.2,91.3
阿部寛,1.6000000000000014,0.20000000000000284,168,210,189,21,53.6,96.1,55.2,96.3
天野ひろゆき,0.20000000000000107,1.3999999999999915,55,65,60,5,15.6,89.2,15.8,90.6
綾野剛,-0.9000000000000021,1.6000000000000085,142,210,176,34,24.1,87.1,23.2,88.7
荒川良々,2.5,2.8999999999999915,55,69,62,7,11,72.7,13.5,75.6
荒木飛羽,1.4,0.8999999999999995,71,93,82,11,0.5,6.7,1.9,7.6
新田真剣佑,1.4000000000000004,1.4000000000000057,166,210,188,22,15.6,73.3,17,74.7
有岡大貴,1.200000000000001,4.199999999999996,52,70,61,9,8.7,53.1,9.9,57.3
有田哲平,-1.1000000000000014,-0.3999999999999915,57,143,100,43,33.5,96.3,32.4,95.9
有吉弘行,-2.6000000000000014,0.5999999999999943,150,210,180,30,42.1,98.2,39.5,98.8
