name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
哀川翔,0.5,0.8999999999999915,0,76,0,0,18.1,89.9,18.6,90.8
相葉雅紀,-3.700000000000003,-1.5999999999999943,0,207,0,0,47.6,96.3,43.9,94.7
青木崇高,-0.7999999999999989,-0.6999999999999957,0,68,0,0,11.2,52.9,10.4,52.2
青柳翔,0.7000000000000002,-3.0,0,73,0,0,1.4,15,2.1,12
明石家さんま,-6.200000000000003,-0.8999999999999915,0,210,0,0,52.7,98.6,46.5,97.7
赤楚衛二,6.199999999999999,6.700000000000003,0,210,0,0,10.3,29.9,16.5,36.6
秋山竜次,-4.5,-0.5,0,151,0,0,37.2,92.4,32.7,91.9
浅野忠信,3.0,0.7000000000000028,0,90,0,0,17.2,80.2,20.2,80.9
浅利陽介,0.7000000000000011,1.0,0,55,0,0,14.7,71.2,15.4,72.2
厚切りジェイソン,-0.3000000000000007,-0.8000000000000114,0,68,0,0,19.8,90.4,19.5,89.6
あばれる君,-0.10000000000000142,-0.9000000000000057,0,81,0,0,22.8,94.7,22.7,93.8
阿部サダヲ,2.8000000000000043,1.7000000000000028,0,205,0,0,32.4,89.6,35.2,91.3
阿部寛,1.6000000000000014,0.20000000000000284,0,210,0,0,53.6,96.1,55.2,96.3
天野ひろゆき,0.20000000000000107,1.3999999999999915,0,80,0,0,15.6,89.2,15.8,90.6
綾野剛,-0.9000000000000021,1.6000000000000085,0,209,0,0,24.1,87.1,23.2,88.7
荒川良々,2.5,2.8999999999999915,0,69,0,0,11,72.7,13.5,75.6
荒木飛羽,1.4,0.8999999999999995,0,93,0,0,0.5,6.7,1.9,7.6
新田真剣佑,1.4000000000000004,1.4000000000000057,0,185,0,0,15.6,73.3,17,74.7
有岡大貴,1.200000000000001,4.199999999999996,0,71,0,0,8.7,53.1,9.9,57.3
有田哲平,-1.1000000000000014,-0.3999999999999915,0,146,0,0,33.5,96.3,32.4,95.9
有吉弘行,-2.6000000000000014,0.5999999999999943,0,210,0,0,42.1,98.2,39.5,98.8
飯尾和樹,1.3999999999999986,0.7000000000000028,0,84,0,0,38.2,91.3,39.6,92
井浦新,6.899999999999999,5.100000000000001,0,137,0,0,14.3,53.5,21.2,58.6
生田斗真,2.1000000000000014,-0.9000000000000057,0,189,0,0,29.4,85.7,31.5,84.8
池松壮亮,2.1000000000000005,9.900000000000006,0,100,0,0,6.2,42.3,8.3,52.2
伊沢拓司,-2.700000000000001,2.799999999999997,0,96,0,0,15.8,72.2,13.1,75
石塚英彦,-1.9000000000000021,-1.4000000000000057,0,63,0,0,28.8,94.9,26.9,93.5
石橋貴明,-1.8999999999999986,0.29999999999999716,0,179,0,0,20,91.9,18.1,92.2
石原良純,-3.5,-1.4000000000000057,0,95,0,0,20.5,94.7,17,93.3
石丸幹二,0.6999999999999993,1.1999999999999957,0,71,0,0,10.3,60.7,11,61.9
伊集院光,-3.8999999999999986,0.29999999999999716,0,102,0,0,20.2,90.3,16.3,90.6
泉澤祐希,0.30000000000000004,2.8000000000000007,0,62,0,0,1.8,17.9,2.1,20.7
磯村勇斗,2.700000000000001,1.8999999999999986,0,174,0,0,13.1,48,15.8,49.9
板尾創路,-0.3000000000000007,4.900000000000006,0,77,0,0,12.9,78.6,12.6,83.5
板垣瑞生,0.5,-1.3999999999999995,0,79,0,0,1.4,9.2,1.9,7.8
板垣李光人,3.2,10.2,0,210,0,0,1.8,10.3,5,20.5
