哀川翔,18.6,90.8
相葉雅紀,43.9,94.7
青木崇高,10.4,52.2
青柳翔,2.1,12
明石家さんま,46.5,97.7
赤楚衛二,16.5,36.6
秋山竜次,32.7,91.9
浅野忠信,20.2,80.9
浅利陽介,15.4,72.2
厚切りジェイソン,19.5,89.6
あばれる君,22.7,93.8
阿部サダヲ,35.2,91.3
阿部寛,55.2,96.3
天野ひろゆき,15.8,90.6
綾野剛,23.2,88.7
荒川良々,13.5,75.6
荒木飛羽,1.9,7.6
新田真剣佑,17,74.7
有岡大貴,9.9,57.3
有田哲平,32.4,95.9
有吉弘行,39.5,98.8
飯尾和樹,39.6,92
井浦新,21.2,58.6
生田斗真,31.5,84.8
池松壮亮,8.3,52.2
伊沢拓司,13.1,75
石塚英彦,26.9,93.5
石橋貴明,18.1,92.2
石原良純,17,93.3
石丸幹二,11,61.9
伊集院光,16.3,90.6
泉澤祐希,2.1,20.7
磯村勇斗,15.8,49.9
板尾創路,12.6,83.5
板垣瑞生,1.9,7.8
板垣李光人,5,20.5
市川猿之助_(4代目),11,80.4
市川染五郎_(8代目),3.9,43.9
市川團十郎_(13代目),11.7,86.9
一ノ瀬颯,0.7,9.4
市原隼人,24.1,84.2
市村正親,15.6,86.9
IKKO,28.8,97.5
井手上漠,1.4,15.8
伊藤あさひ,0.4,6
伊藤淳史,21.8,85.8
伊藤英明,25.3,86.5
稲垣吾郎,15.4,91.3
稲葉友,2.1,17.9
犬飼貴丈,5,22.8
井上想良,0.9,5
井上祐貴,0.4,3.4
伊野尾慧,11.3,68.7
井ノ原快彦,27.8,89.6
井之脇海,6.7,39.3
伊原剛志,13.5,70.8
伊武雅刀,17,83.2
今井翼,7.4,68.7
今田耕司,26,95.4
岩田剛典,18.2,68
上田晋也,28.3,92.9
ウエンツ瑛士,16.5,94.2
宇梶剛士,14.9,81.1
内野聖陽,19.5,65
内村光良,46,96.1
ウド鈴木,16.1,91.9
梅沢富美男,18.6,95.8
江口洋介,31.5,89.7
柄本明,23.9,87.1
柄本佑,20.9,77.5
柄本時生,13.3,78.8
遠藤憲一,39.1,91.5
遠藤章造,9.7,82.5
及川光博,26.9,89.9
大泉洋,52.2,95.6
大倉孝二,9.6,61.1
大倉忠義,11.5,65.5
大沢たかお,23.4,83.2
太田光,13.5,92
大谷翔平,55.8,97
大谷亮平,13.3,69.7
大橋和也,13.1,50.1
大森南朋,17.5,75.9
岡田圭右,10.4,85.5
岡田准一,40.9,93.1
岡田将生,21.4,78.6
岡村隆史,29.2,96.1
岡山天音,6.4,48.1
奥田瑛二,6.7,65.1
奥平大兼,0.5,8.1
小栗旬,40.9,93.6
小澤征悦,12.6,79.6
織田裕二,20.9,89.2
オダギリジョー,26.5,88.1
音尾琢真,3,19.6
尾上松也,12.9,76.6
香川照之,21.2,92.4
柿澤勇人,1.8,19.5
賀来賢人,35.2,85.1
角田晃広,22.3,74.2
筧利夫,14.7,78.2
風間俊介,31,87.6
笠松将,2.7,27.3
梶原善,8.5,54.7
春日俊彰,23.9,96.6
カズレーザー,34,96.8
加瀬亮,10.3,59.3
片岡愛之助,11.9,85.1
片桐仁,11.9,72
片寄涼太,4.8,46
勝地涼,7.1,78.2
勝俣州和,12.2,87.1
勝村政信,13.6,80.2
加藤浩次,21.6,92.7
加藤清史郎,9.9,74.5
加藤諒,12.7,87.8
香取慎吾,25,95.9
要潤,16.8,86
金子大地,1.2,12.9
金子ノブアキ,6.7,43.7
川平慈英,14.5,88.3
神尾楓珠,7.3,37.5
上川隆也,17.3,73.1
神木隆之介,32.9,88.3
上地雄輔,10.8,87.4
亀梨和也,19.1,92.6
唐沢寿明,31.2,87.3
河合郁人,15.8,65
川島明,28.1,87.3
神田正輝,6.7,77.3
カンニング竹山,16.3,94.3
菊池風磨,25,68.1
岸優太,21.4,64.6
岸谷五朗,13.6,76.5
岸部一徳,22.1,88.1
北大路欣也,26.4,90.1
北村一輝,25.8,85.8
北村匠海,24.8,74
北村有起哉,7.1,48.8
北山宏光,5.1,60.2
吉川晃司,20,79.6
木梨憲武,27.3,93.3
木村昴,17.3,67.8
木村拓哉,34.2,98.2
桐谷健太,25.8,90.1
桐山漣,4.6,28.3
草刈正雄,25.1,88.7
草彅剛,24.4,94.3
