哀川翔,18.1,89.9,18.6,90.8,12749,31465,29132,11500,17867,12961,9921
相葉雅紀,47.6,96.3,43.9,94.7,32110,21994,22885,12688,12520,16561,17850
青木崇高,11.2,52.9,10.4,52.2,7913,11622,9925,6704,7677,8845,9886
青柳翔,1.4,15,2.1,12,3104,2431,2344,1904,9209,19518,7662
明石家さんま,52.7,98.6,46.5,97.7,29622,25059,39043,43677,36966,45741,34895
赤楚衛二,10.3,29.9,16.5,36.6,286993,93094,141650,92535,113454,101870,696348
秋山竜次,37.2,92.4,32.7,91.9,16387,15334,9423,6951,12555,11349,7220
浅野忠信,17.2,80.2,20.2,80.9,192519,58302,17215,9246,7331,8033,8566
浅利陽介,14.7,71.2,15.4,72.2,31176,24082,8911,10541,4802,8481,7207
厚切りジェイソン,19.8,90.4,19.5,89.6,21941,12802,8827,7889,8365,9191,9541
あばれる君,22.8,94.7,22.7,93.8,25335,9445,12633,10370,9347,15258,10536
阿部サダヲ,32.4,89.6,35.2,91.3,18147,32471,47520,8048,10333,12736,50039
阿部寛,53.6,96.1,55.2,96.3,99764,52330,40180,22903,24263,35006,51271
天野ひろゆき,15.6,89.2,15.8,90.6,6649,5907,11052,9545,10361,8956,10470
綾野剛,24.1,87.1,23.2,88.7,44228,35429,20792,19576,24157,81132,26637
荒川良々,11,72.7,13.5,75.6,5553,5976,5725,4213,5919,11287,19751
荒木飛羽,0.5,6.7,1.9,7.6,5106,19878,15729,34170,45957,13135,5881
新田真剣佑,15.6,73.3,17,74.7,29688,22914,55325,33356,32243,129633,23401
有岡大貴,8.7,53.1,9.9,57.3,11901,8692,6220,8426,6924,9758,5377
有田哲平,33.5,96.3,32.4,95.9,17618,15164,14384,21252,16172,16300,15247
有吉弘行,42.1,98.2,39.5,98.8,34889,48729,24400,24364,41586,53479,31396
飯尾和樹,38.2,91.3,39.6,92,14105,24780,13437,8346,9285,12729,16205
井浦新,14.3,53.5,21.2,58.6,19593,23413,19812,72807,21882,40273,25440
生田斗真,29.4,85.7,31.5,84.8,25366,22497,32485,41549,22452,23691,105746
池松壮亮,6.2,42.3,8.3,52.2,10937,67580,14752,14226,11016,31212,12357
伊沢拓司,15.8,72.2,13.1,75,31468,37912,24455,12218,16559,17397,12605
石塚英彦,28.8,94.9,26.9,93.5,6422,5881,5337,6609,6865,6013,5295
石橋貴明,20,91.9,18.1,92.2,18773,17544,22829,20485,13062,21014,9952
石原良純,20.5,94.7,17,93.3,13353,10811,11753,21896,11864,9456,11605
石丸幹二,10.3,60.7,11,61.9,15193,15453,15860,11797,16199,8999,8285
伊集院光,20.2,90.3,16.3,90.6,23644,31856,35166,16311,13478,17184,26147
泉澤祐希,1.8,17.9,2.1,20.7,37665,3747,10318,9944,7086,15782,15408
磯村勇斗,13.1,48,15.8,49.9,87392,36215,16907,15892,15534,20248,26053
板尾創路,12.9,78.6,12.6,83.5,14777,21203,6218,5361,4666,6235,8968
板垣瑞生,1.4,9.2,1.9,7.8,19233,12682,10834,9017,5737,7177,5811
板垣李光人,1.8,10.3,5,20.5,11759,39121,247320,85271,168683,84603,36693
市川猿之助_(4代目),14.3,81.1,11,80.4,29533,47974,19099,14284,14049,18010,32255
一ノ瀬颯,1.4,7.6,0.7,9.4,41604,12008,7399,4451,4188,26328,11777
市原隼人,19.5,79.6,24.1,84.2,46981,26045,29614,34407,21170,32003,17118
市村正親,15,82.8,15.6,86.9,10778,5966,5704,7460,39138,39905,44496
IKKO,29,98.4,28.8,97.5,8061,13525,7202,10153,6678,24622,10114
井手上漠,1.8,12.9,1.4,15.8,40286,27385,31693,23428,38116,21656,16927
伊藤あさひ,0.7,3.5,0.4,6,2174,1675,1810,3115,3090,1835,3065
伊藤淳史,20.2,82.1,21.8,85.8,7055,6635,6901,11315,5733,18405,8056
伊藤英明,18.4,82.7,25.3,86.5,15496,18423,17402,63615,11820,130295,49073
稲垣吾郎,18.2,91.7,15.4,91.3,9135,7851,11933,12605,10217,15002,8780
稲葉友,2.8,15.9,2.1,17.9,14458,9226,15217,9572,13188,15317,9751
犬飼貴丈,3.9,18.2,5,22.8,56330,45094,21732,16504,14062,31172,76902
井上祐貴,0.5,4.2,0.4,3.4,7014,6321,14634,6974,11365,34292,10464
伊野尾慧,13.3,69.9,11.3,68.7,18419,11269,7422,7256,7354,9393,6600
井ノ原快彦,31.9,88.8,27.8,89.6,7876,6239,29390,40355,18885,21055,8256
井之脇海,3.9,31,6.7,39.3,64762,153004,38907,42287,90023,8448,5256
伊原剛志,9.2,69.2,13.5,70.8,12372,16399,6858,9622,4934,7054,5817
伊武雅刀,15.6,79.6,17,83.2,7913,14050,18058,5298,6314,13849,14779
今井翼,12,66.9,7.4,68.7,5620,4677,8478,25398,5038,9128,3032
今田耕司,29.2,96.1,26,95.4,12212,26750,23746,10151,14402,19949,37573
岩田剛典,24.4,69.7,18.2,68,22863,16850,63489,29204,39011,18557,47740
上田晋也,30.4,94.9,28.3,92.9,13507,15727,14100,12596,7996,11735,13926
ウエンツ瑛士,20.2,93.1,16.5,94.2,13388,10799,13045,8105,6184,6426,6335
宇梶剛士,17.7,79.8,14.9,81.1,17487,16822,18092,11429,16590,12842,10766
内野聖陽,19.5,64.2,19.5,65,14009,16534,12597,37301,17597,22540,18663
内村光良,48.8,96.8,46,96.1,28851,21489,17592,10254,12981,15579,13502
ウド鈴木,16.8,92.4,16.1,91.9,4955,6635,10460,3966,6719,7531,9572
梅沢富美男,18.9,95,18.6,95.8,13395,15361,9207,12598,9007,24695,10749
江口洋介,24.8,85,31.5,89.7,14766,18957,41066,15261,15361,13695,10884
柄本明,25.7,84.2,23.9,87.1,17314,11148,13078,14446,10698,24753,14601
柄本佑,22.7,75.8,20.9,77.5,20914,13777,12135,38908,11801,55778,29752
柄本時生,12.7,76.3,13.3,78.8,9967,6435,8796,12514,7435,24872,15722
遠藤憲一,41.6,92.4,39.1,91.5,10550,11378,13094,9869,10709,20839,32684
遠藤章造,8.7,80.2,9.7,82.5,14900,7938,4874,10205,4893,5394,6672
及川光博,25.5,89.6,26.9,89.9,26890,13263,41443,12912,13752,29367,11372
大泉洋,50.8,95.9,52.2,95.6,43615,40586,45138,53519,62589,48534,28401
大倉孝二,13.6,58.8,9.6,61.1,12631,8505,5433,3768,2225,2747,2144
大倉忠義,12.2,64.4,11.5,65.5,13296,10432,12850,11367,17013,16826,7715
大沢たかお,20.2,79.3,23.4,83.2,22025,11867,10165,16143,23109,18789,11075
太田光,20.5,91.5,13.5,92,14677,24071,12601,5262,13534,12155,13823
大谷翔平,59.5,96.5,55.8,97,337962,256626,212857,100473,85548,117335,117183
大谷亮平,15,71.3,13.3,69.7,35636,11660,11792,29067,7639,20163,8195
大森南朋,16.5,72.2,17.5,75.9,137248,13765,10353,14827,14301,44886,84792
岡田圭右,10.6,84.6,10.4,85.5,6312,9782,6280,6688,4994,8728,5046
岡田准一,36.8,90.8,40.9,93.1,31311,73094,29563,25580,20764,70052,42343
岡田将生,22.8,75,21.4,78.6,13528,12794,48590,43798,53787,43914,13105
岡村隆史,31.7,95.2,29.2,96.1,18295,20318,18144,19055,18904,28314,18509
岡山天音,6.2,41.9,6.4,48.1,14783,26490,11204,5018,7319,19163,41517
奥田瑛二,7.3,63.7,6.7,65.1,8329,6035,14520,7471,8782,15992,10420
奥平大兼,1.6,10.1,0.5,8.1,2525,3418,3401,3572,3007,4465,2482
小栗旬,38.1,92.4,40.9,93.6,50483,31343,43599,42532,92160,82903,28197
小澤征悦,10.8,81.4,12.6,79.6,19249,22076,10658,7614,12156,13378,15695
織田裕二,22.1,88.3,20.9,89.2,18532,14176,15256,13071,13939,15242,22401
オダギリジョー,23.5,87.4,26.5,88.1,14283,79031,35082,24815,24027,13793,13843
音尾琢真,3.5,18.8,3,19.6,4139,3918,7705,4926,6223,11993,8843
尾上松也_(2代目),11.5,74.3,12.9,76.6,10618,25958,39226,22496,27069,16749,21247
香川照之,39.6,90.4,21.2,92.4,344728,576202,37766,21578,25513,18535,20660
賀来賢人,33.6,85.3,35.2,85.1,29698,40092,18950,20758,27647,98924,34792
角田晃広,20.9,69,22.3,74.2,4183,3165,6998,5498,4598,10642,3980
筧利夫,10.1,76.1,14.7,78.2,3391,3485,5013,8874,25685,9951,2974
風間俊介,22.8,83.5,31,87.6,41106,47252,33876,26852,37669,40081,18223
笠松将,3.4,29.2,2.7,27.3,33285,5682,5634,3970,12712,21973,20005
春日俊彰,24.6,96.5,23.9,96.6,14265,13454,13565,13842,17824,18313,13133
カズレーザー,33.6,96.1,34,96.8,35439,30143,52682,45326,37793,41550,35948
加瀬亮,8.3,53.6,10.3,59.3,10640,10239,8654,11562,12176,12335,9827
片岡愛之助_(6代目),11.2,82.5,11.9,85.1,8201,7294,6459,6337,5364,9096,24975
片桐仁,13.6,69.4,11.9,72,7541,6845,6101,4440,4265,11979,6712
片寄涼太,6.4,36.5,4.8,46,11999,5324,4790,20276,61379,323180,33872
勝地涼,6.5,76.8,7.1,78.2,10019,4234,11068,10028,6002,37373,32269
勝俣州和,13.3,85.1,12.2,87.1,13941,6908,6730,6529,7965,7975,8799
勝村政信,14,75.8,13.6,80.2,5482,14522,11941,17895,10921,7948,5553
