publisher,news_count,score_sum,score_mean,burst_news_count,burst_score_sum,burst_pv_sum,burst_days
010-sports.jp,1,0,0.0,0.0,0.0,0.0,0.0
2.5ジゲン!!,27,33,1.2222222222222223,4.0,8.0,11421.0,4.0
25ans,38,30,0.7894736842105263,3.0,4.0,28108.0,3.0
47news.jp,19,11,0.5789473684210527,1.0,-2.0,1824.0,1.0
4Gamer.net,98,129,1.316326530612245,5.0,12.0,33426.0,5.0
4years,4,-5,-1.25,0.0,0.0,0.0,0.0
@DIME アットダイム,8,11,1.375,0.0,0.0,0.0,0.0
AAB秋田朝日放送,1,1,1.0,0.0,0.0,0.0,0.0
ABA青森朝日放送,1,0,0.0,1.0,0.0,884.0,1.0
ABEMA TIMES,2522,1710,0.6780333068992863,299.0,248.0,1706365.0,131.0
ABS秋田放送,1,2,2.0,0.0,0.0,0.0,0.0
ACTRESS PRESS,146,177,1.2123287671232876,16.0,25.0,71603.0,14.0
ADF Web Magazine,1,0,0.0,0.0,0.0,0.0,0.0
AERA DIGITAL,296,204,0.6891891891891891,47.0,55.0,326557.0,41.0
AFPBB News,5,3,0.6,1.0,2.0,1823.0,1.0
ALBA Net,9,2,0.2222222222222222,2.0,1.0,6635.0,2.0
AMP[アンプ],2,3,1.5,0.0,0.0,0.0,0.0
ARGO（アルゴ）,1,0,0.0,0.0,0.0,0.0,0.0
ARTnews JAPAN,1,-1,-1.0,0.0,0.0,0.0,0.0
ARUHIマガジン,1,0,0.0,0.0,0.0,0.0,0.0
ASCII.jp,33,29,0.8787878787878788,3.0,1.0,11604.0,3.0
AUTOCAR JAPAN,1,0,0.0,0.0,0.0,0.0,0.0
AUTOMATON,8,7,0.875,0.0,0.0,0.0,0.0
AV Watch,28,27,0.9642857142857143,4.0,6.0,16499.0,4.0
About Amazon Japan,3,1,0.3333333333333333,0.0,0.0,0.0,0.0
About Netflix,28,48,1.7142857142857142,3.0,12.0,35886.0,3.0
AdverTimes.（アドタイ） by 宣伝会議,110,130,1.1818181818181819,9.0,15.0,72812.0,9.0
Agenda note,1,-1,-1.0,0.0,0.0,0.0,0.0
All About ニュース,2052,2598,1.2660818713450293,219.0,307.0,1638572.0,101.0
All About（オールアバウト）,25,19,0.76,4.0,4.0,16450.0,2.0
Ameba News [アメーバニュース],66,39,0.5909090909090909,7.0,4.0,18847.0,7.0
AnyMind Group,1,1,1.0,0.0,0.0,0.0,0.0
AppMedia,9,8,0.8888888888888888,0.0,0.0,0.0,0.0
Astage-アステージ,366,450,1.2295081967213115,42.0,52.0,271701.0,41.0
AuDee,207,91,0.4396135265700483,18.0,15.0,143137.0,14.0
Auto Messe Web,1,3,3.0,1.0,3.0,19858.0,1.0
Auto Prove,1,1,1.0,0.0,0.0,0.0,0.0
Aviation Wire,3,-1,-0.3333333333333333,0.0,0.0,0.0,0.0
BACKSIDE,2,4,2.0,0.0,0.0,0.0,0.0
BAILA,110,151,1.3727272727272728,14.0,18.0,123355.0,13.0
BARKS,89,53,0.5955056179775281,8.0,9.0,148423.0,7.0
BASEBALL KING,7,9,1.2857142857142858,3.0,5.0,16875.0,2.0
BBC,3,6,2.0,1.0,3.0,57752.0,1.0
BEATINK.COM,6,3,0.5,0.0,0.0,0.0,0.0
BIG UP!,2,3,1.5,0.0,0.0,0.0,0.0
BIGLOBEニュース,2,-1,-0.5,0.0,0.0,0.0,0.0
BLUE NOTE TOKYO,2,2,1.0,0.0,0.0,0.0,0.0
BOAT RACE オフィシャルウェブサイト,2,2,1.0,0.0,0.0,0.0,0.0
BOAT RACE振興会,16,6,0.375,1.0,0.0,3808.0,1.0
BOUTREVIEW,11,8,0.7272727272727273,1.0,1.0,1725.0,1.0
BS11,2,0,0.0,0.0,0.0,0.0,0.0
BS12,29,20,0.6896551724137931,2.0,1.0,2299.0,2.0
BSN新潟放送,3,1,0.3333333333333333,2.0,1.0,23209.0,2.0
BSフジ,75,87,1.16,9.0,5.0,23211.0,7.0
BS朝日,62,59,0.9516129032258065,6.0,8.0,18064.0,6.0
BURRN! ONLINE,4,0,0.0,0.0,0.0,0.0,0.0
BUSHOO!JAPAN（武将ジャパン）,2,1,0.5,0.0,0.0,0.0,0.0
Basket Count,1,5,5.0,0.0,0.0,0.0,0.0
Billboard JAPAN,1233,1270,1.030008110300081,134.0,175.0,1793634.0,84.0
Binance,1,0,0.0,0.0,0.0,0.0,0.0
BitStar Agent,3,2,0.6666666666666666,0.0,0.0,0.0,0.0
Biz Life Style,6,9,1.5,1.0,2.0,2478.0,1.0
Bloomberg.co.jp,2,-3,-1.5,0.0,0.0,0.0,0.0
Book Bang,34,46,1.3529411764705883,5.0,8.0,88669.0,4.0
Boom App Games,4,2,0.5,0.0,0.0,0.0,0.0
Boxing News（ボクシングニュース）,2,0,0.0,0.0,0.0,0.0,0.0
Brand New Creativity,3,2,0.6666666666666666,0.0,0.0,0.0,0.0
Brillia SHORTSHORTS THEATER ONLINE,1,-1,-1.0,0.0,0.0,0.0,0.0
Business Insider Japan,3,0,0.0,0.0,0.0,0.0,0.0
Buzz Plus News,4,10,2.5,0.0,0.0,0.0,0.0
BuzzFeed,342,328,0.9590643274853801,30.0,32.0,201884.0,29.0
CAMPFIRE (キャンプファイヤー),1,2,2.0,0.0,0.0,0.0,0.0
CD Journal,99,117,1.1818181818181819,3.0,7.0,10974.0,3.0
CGTN Japanese,1,1,1.0,0.0,0.0,0.0,0.0
CGWORLD.jp,4,5,1.25,0.0,0.0,0.0,0.0
CHANTO WEB,83,84,1.0120481927710843,43.0,57.0,129530.0,15.0
CINE QUINTO,3,-1,-0.3333333333333333,0.0,0.0,0.0,0.0
CINEMA FACTORY,64,94,1.46875,7.0,6.0,29187.0,6.0
CINEMAS＋,406,381,0.9384236453201971,34.0,42.0,446541.0,26.0
CINRA,195,336,1.7230769230769232,24.0,51.0,162821.0,19.0
CNET Japan,3,-1,-0.3333333333333333,0.0,0.0,0.0,0.0
CNN,4,-2,-0.5,1.0,-2.0,4819.0,1.0
CREATIVE VILLAGE,1,-1,-1.0,0.0,0.0,0.0,0.0
CREATIVEMAN PRODUCTIONS,1,3,3.0,0.0,0.0,0.0,0.0
Car Watch,16,18,1.125,2.0,3.0,11559.0,2.0
CareNet.com,1,0,0.0,0.0,0.0,0.0,0.0
Casa BRUTUS,11,13,1.1818181818181819,0.0,0.0,0.0,0.0
Cat Press,2,3,1.5,0.0,0.0,0.0,0.0
Cento Cuore HARIMA,1,2,2.0,0.0,0.0,0.0,0.0
Ciatr,109,54,0.4954128440366973,15.0,5.0,94311.0,11.0
CinemaGene,37,57,1.5405405405405406,1.0,3.0,20228.0,1.0
Clubberia,1,-1,-1.0,0.0,0.0,0.0,0.0
Coca-Cola.com,4,4,1.0,0.0,0.0,0.0,0.0
CreatorZine,1,1,1.0,0.0,0.0,0.0,0.0
CyberZ,2,2,1.0,0.0,0.0,0.0,0.0
D.League,1,0,0.0,0.0,0.0,0.0,0.0
DAZN Group,1,1,1.0,0.0,0.0,0.0,0.0
DG Lab Haus,1,0,0.0,0.0,0.0,0.0,0.0
DIVERSITY IN THE ARTS TODAY,1,1,1.0,0.0,0.0,0.0,0.0
DMM Group,6,9,1.5,0.0,0.0,0.0,0.0
DMM inside,1,2,2.0,0.0,0.0,0.0,0.0
DMMぱちタウン,1,0,0.0,0.0,0.0,0.0,0.0
DREAMS COME TRUE,1,1,1.0,0.0,0.0,0.0,0.0
Danmee ダンミ,3,2,0.6666666666666666,0.0,0.0,0.0,0.0
Dead by Daylight,3,2,0.6666666666666666,0.0,0.0,0.0,0.0
Deview,98,52,0.5306122448979592,9.0,3.0,26750.0,9.0
Digital Life Innovator,2,4,2.0,0.0,0.0,0.0,0.0
Digital PR Platform,21,24,1.1428571428571428,5.0,6.0,59514.0,5.0
Disney.jp,4,8,2.0,1.0,0.0,10650.0,1.0
Dtimes,83,108,1.3012048192771084,5.0,11.0,21266.0,5.0
EE Times Japan,1,0,0.0,0.0,0.0,0.0,0.0
ELEMINIST,5,5,1.0,0.0,0.0,0.0,0.0
ELLE,98,146,1.489795918367347,7.0,17.0,208602.0,7.0
ELLEgirl,21,20,0.9523809523809523,3.0,3.0,33969.0,3.0
ENCOUNT,2295,1928,0.840087145969499,450.0,448.0,5686004.0,167.0
ENGINE Web,1,0,0.0,0.0,0.0,0.0,0.0
ENTAME next,214,184,0.8598130841121495,27.0,35.0,123873.0,20.0
EVsmartブログ,1,0,0.0,0.0,0.0,0.0,0.0
EXILE TRIBE mobile,94,143,1.5212765957446808,10.0,14.0,50486.0,10.0
EYESCREAM,11,7,0.6363636363636364,1.0,0.0,822.0,1.0
EdTechZine（エドテックジン）,1,0,0.0,0.0,0.0,0.0,0.0
Esports Charts,1,0,0.0,0.0,0.0,0.0,0.0
Esquire,25,40,1.6,2.0,4.0,60847.0,2.0
Excite エキサイト,2081,1207,0.5800096107640558,247.0,180.0,2528631.0,130.0
Excuse Me Dallas,1,0,0.0,0.0,0.0,0.0,0.0
