from,to,weight
北海道,岡山県,11
北海道,山口県,10
北海道,長崎県,11
北海道,山梨県,13
北海道,岐阜県,10
秋田県,三重県,10
山形県,福岡県,12
千葉県,宮城県,10
東京都,岐阜県,10
福井県,和歌山県,34
静岡県,福岡県,19
滋賀県,佐賀県,11
和歌山県,宮崎県,14
香川県,滋賀県,11
愛媛県,和歌山県,10
高知県,兵庫県,11
高知県,長野県,10
福岡県,栃木県,10
大分県,鹿児島県,11
鹿児島県,佐賀県,11
沖縄県,兵庫県,11
沖縄県,愛知県,10
山形県,神奈川県,11
群馬県,岡山県,12
千葉県,熊本県,10
千葉県,青森県,11
東京都,和歌山県,30
東京都,徳島県,12
長野県,千葉県,28
静岡県,岡山県,14
三重県,長野県,39
三重県,愛媛県,12
滋賀県,山形県,10
京都府,新潟県,14
和歌山県,鹿児島県,24
和歌山県,熊本県,12
島根県,沖縄県,11
岡山県,熊本県,10
長崎県,沖縄県,23
宮崎県,福島県,12
沖縄県,佐賀県,18
北海道,島根県,22
青森県,神奈川県,10
青森県,石川県,10
岩手県,高知県,26
岩手県,愛知県,37
宮城県,熊本県,10
秋田県,福岡県,11
秋田県,福井県,12
山形県,茨城県,11
茨城県,愛媛県,12
群馬県,沖縄県,20
埼玉県,静岡県,17
千葉県,京都府,10
神奈川県,三重県,41
富山県,大阪府,35
福井県,静岡県,11
岐阜県,群馬県,13
愛知県,山口県,21
京都府,青森県,18
京都府,岩手県,17
和歌山県,岡山県,10
和歌山県,愛知県,14
和歌山県,石川県,10
鳥取県,奈良県,10
島根県,秋田県,12
山口県,長野県,17
山口県,愛知県,23
山口県,宮崎県,11
山口県,北海道,11
香川県,静岡県,35
香川県,神奈川県,10
香川県,宮城県,60
愛媛県,北海道,15
高知県,静岡県,11
佐賀県,茨城県,21
宮崎県,福井県,11
沖縄県,山口県,10
青森県,沖縄県,22
宮城県,福岡県,16
宮城県,和歌山県,19
福島県,奈良県,10
栃木県,沖縄県,10
栃木県,鹿児島県,15
群馬県,富山県,12
埼玉県,三重県,14
東京都,奈良県,26
東京都,三重県,24
東京都,富山県,15
新潟県,鹿児島県,27
富山県,島根県,19
山梨県,和歌山県,18
山梨県,新潟県,10
岐阜県,鹿児島県,10
静岡県,熊本県,15
愛知県,岡山県,10
愛知県,鹿児島県,12
滋賀県,宮崎県,10
滋賀県,山口県,11
和歌山県,静岡県,10
和歌山県,岐阜県,15
鳥取県,福岡県,10
鳥取県,徳島県,10
広島県,長野県,85
山口県,青森県,26
香川県,秋田県,17
香川県,石川県,10
福岡県,岡山県,24
長崎県,千葉県,16
沖縄県,岩手県,24
北海道,広島県,10
青森県,東京都,33
宮城県,宮崎県,13
秋田県,沖縄県,10
福島県,東京都,24
茨城県,石川県,10
栃木県,大阪府,10
栃木県,愛知県,12
群馬県,静岡県,12
群馬県,島根県,36
群馬県,山梨県,13
埼玉県,宮城県,14
千葉県,富山県,24
千葉県,広島県,10
神奈川県,広島県,44
石川県,愛知県,107
石川県,岩手県,11
山梨県,三重県,35
岐阜県,北海道,17
静岡県,滋賀県,10
静岡県,岩手県,17
愛知県,茨城県,11
愛知県,徳島県,13
滋賀県,沖縄県,24
滋賀県,千葉県,10
大阪府,山形県,45
大阪府,山口県,65
奈良県,静岡県,10
和歌山県,島根県,32
和歌山県,高知県,32
鳥取県,愛知県,10
鳥取県,鹿児島県,25
島根県,宮崎県,32
島根県,香川県,24
岡山県,福岡県,11
広島県,大阪府,12
広島県,三重県,11
徳島県,富山県,10
福岡県,愛媛県,12
熊本県,沖縄県,11
宮崎県,山梨県,40
北海道,三重県,40
北海道,和歌山県,11
北海道,香川県,30
青森県,茨城県,27
青森県,栃木県,39
青森県,富山県,14
宮城県,栃木県,34
宮城県,山梨県,10
宮城県,長野県,10
山形県,群馬県,10
栃木県,宮城県,12
栃木県,東京都,29
東京都,鹿児島県,24
神奈川県,石川県,12
新潟県,千葉県,11
富山県,北海道,10
福井県,三重県,29
福井県,島根県,24
福井県,愛知県,13
福井県,山形県,38
福井県,福島県,11
山梨県,鳥取県,10
山梨県,山形県,11
長野県,青森県,10
静岡県,高知県,23
静岡県,大阪府,31
静岡県,青森県,12
愛知県,新潟県,15
三重県,山梨県,38
三重県,山形県,10
滋賀県,栃木県,10
滋賀県,富山県,12
滋賀県,鹿児島県,21
京都府,愛媛県,16
大阪府,群馬県,69
大阪府,富山県,80
大阪府,福井県,68
大阪府,岩手県,69
