id,weight,score
北海道,198335,47979732
青森県,95758,10938645
岩手県,72528,16507736
宮城県,69822,20159469
秋田県,80729,9647207
山形県,67848,15287631
福島県,86451,23082877
茨城県,117308,28174219
栃木県,79528,31729815
群馬県,120251,27026768
埼玉県,144967,40268924
千葉県,98251,50386778
東京都,176421,229284060
神奈川県,103565,64388592
新潟県,94601,21933595
富山県,64060,12863099
石川県,71718,13122472
福井県,78807,7617543
山梨県,81795,15782220
長野県,114536,36977183
岐阜県,92635,28917727
静岡県,97765,87706951
愛知県,101860,94020198
三重県,101138,25354880
滋賀県,88771,14654161
京都府,54447,31762978
大阪府,93582,59684758
兵庫県,92590,51526700
奈良県,70995,13795650
和歌山県,65098,16669695
鳥取県,83861,8789117
島根県,79735,8827993
岡山県,78163,19657062
広島県,70576,23175501
山口県,70832,12949323
徳島県,66363,8096620
香川県,66443,9972011
愛媛県,68037,10310427
高知県,66250,8408053
福岡県,92133,44956941
佐賀県,60622,28197591
長崎県,60986,15378729
熊本県,53898,17274099
大分県,58141,13847149
宮崎県,52921,10291393
鹿児島県,63398,16581285
沖縄県,147023,12802665
