name,weighted_pv
3時のヒロイン,82358.63720787657
Cocomi,84771.17959080987
DAIGO,58888.057230242805
EXIT_(お笑いコンビ),40756.07304481666
HIKAKIN,79795.82693834616
IKKO,17962.919380801704
IMALU,22377.55302021771
JO1,148192.53093465028
LiLiCo,27558.03398498219
MEGUMI,72903.35675925745
RIKACO,17581.488941728392
SHELLY,23485.36842080423
YOU_(タレント),36829.64503717711
あばれる君,19792.429707112642
いとうあさこ,30600.74066156587
おぎやはぎ,22619.734622156608
おのののか,20217.23747944613
かたせ梨乃,32406.022566294785
かまいたち_(お笑いコンビ),90546.81536360888
きゃりーぱみゅぱみゅ,35294.98131760175
くっきー!,24714.053630754803
さまぁ〜ず,23462.35595757808
つるの剛士,17639.738050762695
でんでん,16215.460301886907
ともさかりえ,31840.21861538706
なえなの,20488.567369243057
はじめしゃちょー,43829.672397128204
はるな愛,12162.181310526963
ぺこぱ,21074.115533227807
ぼる塾,81861.95757633663
ゆうたろう_(モデル),16184.106126745677
ゆりやんレトリィバァ,19686.0361100678
りょう_(女優),17767.457184004284
アンミカ,94560.69651437584
イモトアヤコ,26041.019614056324
ウエンツ瑛士,16321.86688403084
ウド鈴木,15327.124751508603
オダギリジョー,54572.471247356756
カズレーザー,62447.317668937445
カンニング竹山,22595.30757945347
ガンバレルーヤ,25805.694657895343
キムラ緑子,17991.977916833366
ケンドーコバヤシ,33092.99669420245
サンシャイン池崎,31715.210424463832
サンドウィッチマン_(お笑いコンビ),64405.45568780139
シシド・カフカ,12638.29073316243
シソンヌ_(お笑いコンビ),62881.42726885693
タカアンドトシ,26903.37584524987
タモリ,68822.00579815607
ダレノガレ明美,17505.157995012218
チョコレートプラネット,51417.47474484307
ティモンディ,60155.321819377714
ディーン・フジオカ,40481.89430560366
トラウデン直美,48080.08882350986
トリンドル玲奈,48498.721408119294
トータス松本,13043.463021514746
ナイツ_(お笑いコンビ),24738.606901307117
バカリズム,48856.621715447756
ヒコロヒー,129440.50762612904
ヒロミ,34367.60157408762
ビビる大木,13229.292837502446
ビートたけし,67858.86996966347
ファーストサマーウイカ,67803.69854056308
フワちゃん,79931.24127641201
ブラックマヨネーズ,13831.413132046291
ベッキー,28341.675351478076
ホラン千秋,80578.07001554144
マキタスポーツ,17912.674320907918
マギー_(モデル),16251.05901597373
マツコ・デラックス,57131.068281521104
ミキ_(お笑いコンビ),29311.767350588165
ミルクボーイ,20366.188575950768
ムロツヨシ,38290.43815430229
ユースケ・サンタマリア,20789.2661468267
リリー・フランキー,25147.368930963105
ローラ_(モデル),21860.226991045492
一ノ瀬颯,29744.569145094712
三吉彩花,40408.12026147548
三宅弘城,8802.427121458837
三宅裕司,16811.864576826432
三戸なつめ,8109.304676571078
三浦友和,37091.75624798254
三浦知良,74543.08260267286
三浦翔平,35867.949244571886
三浦貴大,38527.56238295222
三浦透子,69102.90643150835
上地雄輔,26892.393907862483
上川隆也,42740.45339819179
上戸彩,48528.22494412743
上田晋也,25760.67983307053
上白石萌歌,80758.9051266644
上白石萌音,107805.97391835882
上野樹里,52044.3172687101
与田祐希,42828.81053840763
中丸雄一,45520.915642196924
中井貴一,53680.91992443413
中尾明慶,51425.390144419056
中居正広,109430.87172777504
中山秀征,29739.280380406508
中山美穂,68362.98179702298
中島セナ,2355.7716464064874
中島健人,60835.65932532974
中島裕翔,57744.39111574521
中川大志_(俳優),164007.30644130587
中川翔子,70059.0374704607
中村ゆり,133444.27566329844
中村ゆりか,19348.200613877143
中村アン,73293.56688916443
中村俊介,12065.201375639172
中村倫也,87875.175733327
中村勘九郎_(6代目),20595.344327404844
中村獅童_(2代目),29634.254004366696
中村隼人,548.8434878853283
中村雅俊,28113.96410808544
中村静香,31723.802782810413
中条あやみ,73652.62011210059
中田圭祐,10257.194539210917
中谷美紀,33189.75452172234
中越典子,18570.403646455885
丸山桂里奈,34542.30066835879
丸山隆平,12525.86739170256
久保田紗友,29058.96160413913
久本雅美,18322.99962703629
久間田琳加,31798.834655201943
乙葉,17376.150924299458
亀梨和也,30319.146433440368
二宮和也,84258.90011479729
二階堂ふみ,38993.11899608941
井ノ原快彦,41848.166366168414
井上咲楽,37098.49561479784
井上真央,105704.3853443875
井上祐貴,24048.736454179176
井之脇海,97747.7504586463
井川遥,49182.85394420379
井手上漠,40229.18547368238
井本彩花,19570.729745611116
井桁弘恵,92749.98245079246
井森美幸,14808.4361640376
井浦新,57619.99562356312
今井翼,20575.53956199279
今田美桜,85961.43539337875
今田耕司,33440.300750536415
今野浩喜,19002.590163666806
仲村トオル,29934.14139740032
仲里依紗,86859.74285751603
仲野太賀,76471.91823383719
仲間由紀恵,53589.04045158712
伊原六花,60210.37306651971
伊原剛志,17358.512634037128
伊武雅刀,26056.316962183464
伊沢拓司,41527.357059407186
伊藤あさひ,6113.327105906666
伊藤歩,46218.30695398537
伊藤沙莉,100334.54783777648
伊藤淳史,20000.81927423016
伊藤英明,74224.45057480251
伊野尾慧,24640.74370000472
伊集院光,40463.42989279621
佐々木希,39932.52877063633
佐々木蔵之介,37288.52798122633
佐久間由衣,192228.21038680826
佐藤二朗,43542.70753524161
佐藤健_(俳優),136476.47432535075
佐藤勝利,39323.34553641115
佐藤大樹_(ダンサー),15193.497462037063
佐藤寛太,29903.604158587972
佐藤栞里,52011.893087625685
佐藤浩市,41786.67542926645
佐藤玲,759.1996838682717
佐藤隆太,13896.621398677042
佐野ひなこ,21437.69217280746
佐野勇斗,51564.39251291333
佐野史郎,26103.019817087654
余貴美子,24923.78918925173
倉科カナ,49955.48507259711
優木まおみ,15302.238027251095
優香,24134.47212109281
光浦靖子,22201.435351301257
光石研,28615.58996016165
児嶋一哉,17358.608021606462
八嶋智人,14055.063711395102
八木莉可子,71302.90840503684
六平直政,12047.639902973999
六角精児,36407.06636689753
内山理名,33144.99857015492
内村光良,37214.6201329326
内田有紀,118332.0010242773
内田理央,45429.883834549306
内藤剛志,27269.72063408995
内野聖陽,37644.58422936583
出口夏希,44347.63826430989
出川哲朗,37554.97426591406
別所哲也,19831.652000764338
前田敦子,43612.49095934309
前野朋哉,9025.963904269434
劇団ひとり,36010.78245026037
加瀬亮,21607.49631122608
