name,fame_pct,popularity_pct
Maltesers,100,91
McVitie's,100,90
Magnum Classic Ice Cream,99,88
Jacob's,99,87
Lego,99,86
Cadbury Giant Buttons,99,85
M & S Food,98,84
Cadbury,100,84
E45,95,84
Galaxy Minstrels,98,84
Smarties,100,84
Crunchie,99,83
Kit Kat,100,83
Cadbury Wispa Bar,99,82
Oral-B,99,82
Cadbury Milk Chocolate Digestives,99,81
Galaxy Milk Chocolate,99,80
McVitie's Milk Chocolate Digestives,99,80
Kit Kat Four Finger,98,80
Cadbury Twirl,100,80
Colgate,100,80
Cadbury 99 Flake Cones,99,80
Flake,96,80
Tesco,98,80
Walkers,99,79
McVitie's HobNobs Milk Chocolate,100,79
Jaffa Cakes,100,79
Jacob's Cream Cracker,98,79
Radox,98,79
Twix,99,78
Cornetto,99,78
Boots,100,78
Duracell,97,78
Samsung,100,78
Heinz Tomato Ketchup,100,77
Lidl,98,77
Aero Milk Chocolate,97,77
Dairy Milk,98,77
Lindt,95,77
Amazon,100,77
Nivea,98,77
Heinz,99,76
Cadbury Fingers,100,76
Aero,98,76
Pringles,100,76
Bisto,99,76
Twix Twin,97,76
Galaxy,100,76
Magnum,98,76
Cathedral City,94,76
Cadbury Buttons,100,75
McCain,99,75
Aldi,100,75
Greggs,100,75
Vaseline,98,75
Birds Eye,96,75
Philips,99,75
Argos,100,75
Wispa,96,75
Dove,97,74
Weetabix,98,74
Toblerone Milk Chocolate,98,74
Bosch,99,74
Milkybar,98,74
Rowntree's,93,74
Fanta,98,74
Home Bargains,92,74
Cadbury Chocolate Mini Fingers,97,74
Cornetto Classic Ice Cream,99,74
Hula Hoops,98,74
Dettol,95,74
Kit Kat Chunky,100,74
Jacob's Biscuits For Cheese,94,74
Mini Cheddars,97,74
Andrex,98,73
Terry's Chocolate Orange,100,73
Wall's,98,73
McCoy's,98,73
Schweppes,97,73
McVitie's Milk Chocolate Caramel Digestives,98,73
Hellmann's,99,73
Sony,98,72
Haribo,99,72
M&M's,98,72
Celebrations,100,72
Twix Biscuit,97,72
Cadbury Heroes,100,72
Heinz Beanz,97,72
Volkswagen,99,72
Mars,96,72
Mr Kipling,98,71
Warburtons,99,71
Rowntree's Fruit Pastilles,97,71
B&M,98,71
Cadbury's Mini Eggs,100,71
Sainsbury's,100,71
McVitie's Ginger Nuts,95,71
Ritz,99,71
Pringles Sour Cream Onion,98,71
Superdrug,100,70
Kleenex,99,70
Premier Inn,98,70
Aunt Bessies,94,70
Galaxy Ripple,93,70
Ferrero Rocher,99,70
Panasonic,98,70
Bassetts,92,70
Terry's,92,70
Werther's Original,95,70
Pepsi,98,70
Walkers Cheese And Onion,98,70
Tropicana,99,70
Lindt Chocolate Gold Rabbit,99,70
Rolo,98,70
Cornetto Strawberry Ice Cream,96,70
Walkers Shortbread Assortment,88,70
Fox's,96,70
Philadelphia,95,70
PG Tips,97,70
Lindt Lindor Milk Chocolate,96,70
Walkers Ready Salted,100,69
Lindt Chocolate Gold Teddy Bear,96,69
Blue Riband,92,69
Dyson,98,69
Milk Tray,100,69
The Co-operative Food,98,69
Robinsons,98,69
Polo,93,69
Aquafresh,96,69
British Airways,98,69
ASDA,98,69
Easter Eggs,99,69
Gillette,98,69
Cadbury Dairy Milk Whole Nut,99,69
After Eight,95,68
Yorkshire Tea,99,68
Ribena,93,68
Visa,100,68
Häagen-Dazs,98,68
Adidas,100,68
Milky Way,100,68
Walkers Highlanders Shortbread,87,68
Specsavers,98,68
Levi's,98,68
Volvo,99,68
Sure,92,68
Häagen-Dazs Vanilla Ice Cream,94,68
Galaxy Counters,88,68
Snickers,100,68
J D Wetherspoon,98,67
Doritos,98,67
Kellogg's,100,67
Sprite,100,67
Waterstones,96,67
Jacob's Club Orange Bars,89,67
PayPal,98,67
Nestlé,100,67
Curly Wurly,98,67
Russell Hobbs,96,67
Magnum White Ice Cream,99,67
Ferrero Collection,94,66
McVitie's Cheddars Cheese Biscuits,97,66
Dairylea,95,66
Toblerone,98,66
Mercedes-Benz,98,66
Calvin Klein,100,66
The Co-operative Group,97,66
WH Smith,98,66
Currys,98,66
MasterCard,100,66
Walkers Pure Butter Shortbread Fingers,85,66
Canon,95,66
Warner Bros.,97,66
Metro-Goldwyn-Mayer,85,66
Cadbury Milk Chocolate Mini Rolls,97,66
Rolls-Royce,99,66
Nike,98,66
HP Sauce,97,66
Müller,99,66
Sony Entertainment,92,66
Tic Tac Refreshing Mint,98,66
Yorkie Milk Chocolate Bar,94,66
Aero Bubbles Milk Chocolate,95,65
Universal Studios,97,65
Branston,89,65
Card Factory,97,65
Cadbury Fudge,99,65
Quality Street,97,65
Wall's Original Viennetta Ice Cream,94,65
Thorntons,96,65
Werther's Original Butter Candies,99,65
Lotus Biscoff,95,65
Numatic Henry Hoover,89,65
National Lottery,100,65
Cadbury Roses,99,65
Kettle Chips Lightly Salted,92,65
The Range,93,65
Tesco Express,100,65
Quaker,96,64
Iceland,98,64
Kettle Chips,89,64
Del Monte,92,64
Head & Shoulders,97,64
Hovis,94,64
McVitie's HobNobs Dark Chocolate,96,64
McVitie's Original Digestive,95,64
Chocolate Peanuts,95,64
Nestle Rolo,98,64
Warner Bros. Interactive Entertainment,90,64
Imperial Leather,98,64
Wagon Wheels,95,64
Tefal,96,64
Toyota,99,64
Coca-Cola,99,64
Walkers Quavers Cheese,99,63
Holland & Barrett,99,63
Burger King,100,63
London Underground,99,63
Lurpak,97,63
Gummy Bears,98,63
Mars Ice Cream,95,63
Bounty,96,63
Galaxy Caramel,95,63
Holiday Inn,94,63
Bassetts Jelly Babies,96,63
HMV,97,63
Heinz Seriously Good Mayonnaise,92,63
Cadbury Caramel Egg,98,63
Next,98,63
Morrisons,100,62
Primark,100,62
BMW,98,62
Cadbury Time Out,91,62
Tic Tac,97,62
Freddo Frog,89,62
Double Decker,94,62
Microsoft,97,62
Ben & Jerry's,97,62
Honda,100,62
Cadbury Caramel Nibbles,90,62
Domestos,93,62
Cadbury Dairy Milk Fruit and Nut,98,62
KP,93,62
Apple,98,62
Ford,95,61
Cadbury Boost,95,61
Walnut Whip,90,61
Polo Original Mints,98,61
HP,98,61
Kinder Bueno,93,61
Hotel Chocolat,90,61
Hoover,91,61
Buxton,89,61
Walkers Baked Ready Salted,98,61
DreamWorks,82,61
Nutella,98,61
Bentley,99,61
Now that’s what I call music,92,61
Sensodyne,91,61
Poundland,95,61
Smirnoff,100,61
Kenwood,88,61
The Body Shop,95,61
Highland Spring,93,61
Colman's,94,60
Cadbury Creme Egg,98,60
Nurofen,92,60
Costa Coffee,97,60
Casio,93,60
Disney,98,60
Cadbury Milk Chocolate Rich Tea,92,60
Thorntons Classic Chocolate,93,60
The North Face,90,60
Cadbury Dairy Milk Tasters,78,60
Trebor,90,60
Ben & Jerry's Chocolate Fudge Brownie,98,60
Fruittella,91,60
Rowntree's Fruit Gums,97,60
Dolmio,95,60
Toffee Crisp,93,60
Tu Clothing,88,60
Clarks,97,60
Milka,83,60
Twinings,92,60
TUC Cheese Cracker,90,59
Jaguar,98,59
Homepride,83,59
George,88,59
Braun,95,59
Wotsits,95,59
Yeo Valley,91,59
Walkers Prawn Cocktail,97,59
McVitie's Rich Tea Biscuits,98,59
The Works,83,59
AA,96,59
Skittles,99,59
Cadbury Caramel,100,59
The LEGO Store,95,59
Eurostar,95,59
Nesquik,94,59
PUMA,99,59
KP Dry Roasted Peanuts,95,59
Nintendo,99,59
Chocolate Raisins,97,59
Wrigley's Extra,96,59
Vimto,94,59
Nationwide Building Society,93,59
Revels,93,59
MINI,92,59
Volvic,97,59
Matalan,96,59
Pringles Salt and Vinegar,98,59
Golden Wonder,86,59
Jacob's Cheddars,91,59
Victoria Biscuit Selection,91,59
McVitie's Mini Cheddars BBQ,95,58
Malted Milk Biscuits,94,58
TUC Crackers Original,89,58
Lamborghini,98,58
Pets at Home,95,58
Travelodge,99,58
Chewits,91,58
Heinz Salad Cream,96,58
Kettle Chips Salt and Vinegar,96,58
Octopus Energy,91,58
Tango,97,58
Mentos Fruit,92,58
Dr. Martens,91,58
Energizer,92,58
Tetley,91,58
Maynards Wine Gums,93,58
Evian,99,58
Playstation,95,58
Anchor,92,58
Aero Bubbles,97,58
Boots Opticians,97,58
Dell,96,58
Odeon,98,58
Nokia,94,58
Simple,83,58
Wimpy,90,58
Walkers Salt 'n' Shake Crisps,94,58
KFC,100,57
Kingsmill,92,57
Magnum Gold Vanilla and Caramel Ice Cream,86,57
Listerine,94,57
Morphy Richards,87,57
Cadbury Timeout,88,57
Mazda,91,57
John West,88,57
Ferrari,97,57
TK Maxx,98,57
Lucozade,100,57
Ben & Jerry's Cookie Dough Ice Cream,96,57
Baxters,88,57
Aston Martin,95,57
TRESemmé Hair Care,91,57
McVitie's Dark Chocolate Digestives,96,57
Butterkist Toffee Popcorn,96,57
EuroMillions,98,57
Wotsits Really Cheesy,94,56
Maryland,89,56
Wall's Feast Ice Cream,89,56
Fruit Salads,94,56
Milka Alpine Milk Chocolate,94,56
Tunnocks Caramel Wafers,79,56
Oreo,98,56
Kinder,98,56
Cadbury Eclairs,96,56
Oxo,87,56
Hallmark,90,56
LG,94,56
Subway,98,56
Cola Bottles,94,56
Lloyds Pharmacy,98,56
Nestle Milkybar Giant Buttons,99,56
Halfords,95,56
Hotpoint,87,56
Aero Peppermint,100,56
Waitrose,96,56
Walkers Shortbread Rounds,77,55
BUPA,93,55
Pilgrims Choice,80,55
Nando's PERI PERI sauce,94,55
Batchelors,89,55
Cadbury Crunchie Blast,88,55
Aviva,98,55
Diet Coke,100,55
Apple iPad,98,55
Black & Decker,84,55
Harley-Davidson,93,55
Bahlsen Leibniz Milk Chocolate Biscuits,76,55
Lindt Excellence Dark Chocolate 70% Cocoa,90,55
Sainsbury's Petrol,93,55
Toby Carvery,92,55
Poppets,81,55
Nando's,98,55
Pizza Hut,100,55
Butterkist,91,55
Olay,87,55
F&F,82,55
Walt Disney Parks and Resorts,95,55
EasyJet,98,55
Amazon Fire TV,93,55
Virgin Holidays,95,55
Lilt,84,55
Pantene,94,54
Starburst,96,54
New Look,90,54
Richmond,82,54
Nestle Crunch Milk,87,54
Toolstation,87,54
Nestle Munchies,90,54
Worcester Bosch,70,54
Seabrook Crinkle Salt And Vinegar Crisps,83,54
Hilton,95,54
Mentos,89,54
Michelin,91,54
Lacoste,98,54
Capri Sun,90,54
Fisherman's Friend,89,54
Bose,81,54
Converse,84,54
Toshiba,97,54
Kenco,90,54
Lion Bar,91,54
Seriously Strong,70,53
Indesit,83,53
Bournville Dark Chocolate,95,53
Green & Black's,82,53
Flora,94,53
London Overground,94,53
Mitsubishi,95,53
Johnson & Johnson,93,53
Palmolive,90,53
Apple iPhone,98,53
Nissan,98,53
Hush Puppies,87,53
Jack Daniel's,99,53
Pukka Pies,91,53
7UP,98,53
Ring (Video Doorbell),91,53
Sharp,90,53
Sky,97,53
J2O,95,53
RAC,92,53
Virgin Atlantic,94,53
Ralph Lauren,98,53
Freeview,89,53
Captain Morgan,89,53
Activia,96,53
Walkers Salt And Vinegar,96,53
Smyths,91,52
Pringles Prawn Cocktail,96,52
Audi,98,52
Macleans,81,52
Vue,85,52
Coca-Cola Zero,99,52
H&M,97,52
Tunnocks Tea Cakes,81,52
Vax,76,52
Sports Direct,99,52
Fried Eggs,93,52
Thatchers Gold,85,52
Häagen-Dazs Cookies and Cream Ice Cream,93,52
Irn Bru,98,52
Siemens,95,52
Haribo Starmix,96,52
Baileys,96,52
PizzaExpress,96,52
Malibu,91,52
Hugo Boss,97,52
Yves Saint Laurent,88,52
Pringle,88,51
Pimm's,94,51
Estée Lauder,94,51
San Miguel,90,51
Knorr,85,51
HobbyCraft,92,51
Asda Petrol,98,51
Apple Mac,97,51
Fruit of the Loom,88,51
Nescafé,96,51
Werther's Original Chewy Toffees,98,51
Typhoo,93,51
Tesco Petrol,93,51
Jelly Beans,99,51
TUI,96,51
Ocado,93,51
Krispy Kreme,89,51
Reebok,95,51
Xbox,97,51
Midget Gems,85,51
Disney World Florida,92,51
Ben's Original,91,51
Ryvita,94,51
Skips Prawn Cocktail,92,51
Costco,94,51
Savers,81,51
Cadbury Chocolate Raisins,88,51
Land Rover,98,50
Amazon Kindle Fire,90,50
L'Oréal Paris,96,50
Diet Pepsi,99,50
Kinder Bueno Milk and Hazelnut Chocolate,98,50
Pepsi Zero Sugar,96,50
Doritos Tangy Cheese,96,50
Thomas Cook,98,50
Sanex,86,50
Sainsbury's Salted Cashews and Peanuts,76,50
Kia,92,50
Seabrook Potato Crisps,77,50
GO Outdoors,79,50
Guylian Original Chocolates Seashells,92,50
Timberland,94,50
Porsche,98,50
Goodyear,86,50
Corsodyl,78,50
Halifax,95,50
Lexus,94,50
Vauxhall,96,50
BBC Music,93,50
Polo Ralph Lauren,94,50
National Savings and Investments,75,50
River Island,98,50
Fry's Chocolate Cream,90,50
Heineken,95,49
Herbal Essences,87,49
National Express,92,49
Santander,97,49
Emirates,97,49
Disney Store,98,49
Lloyds Bank,99,49
Mountain Warehouse,76,49
Kopparberg,82,49
Tunnock's,67,49
Peroni,79,49
Sega,82,49
Fever Tree,79,49
Wilkinson Sword,96,49
Schuh,79,49
Miele,67,49
Daim,82,49
Alfa Romeo,89,49
McDonald's,100,49
Vans,83,49
Petit Filous,83,49
BBC,100,49
JD Sports,98,49
Intel,95,49
Co-operative Funeralcare,94,49
Crosse & Blackwell,79,49
Ninja,75,49
Fry's,78,49
Bella Italia,80,48
Lynx,98,48
Habitat,84,48
Ginsters,90,48
McCoy's Cheddar and Onion,91,48
Nikon,91,48
Jacob's Fig Rolls,80,48
Swarovski,89,48
R Whites,72,48
Guinness,100,48
M&M's Peanut,96,48
Dunlop,90,48
Umbro,93,48
Fortnum & Mason,88,48
Tyrrells,77,48
Actimel,90,48
Poundstretcher,95,48
Stella Artois,97,48
Sensations,65,48
Barclays,98,48
Hard Rock Cafe,88,48
Gap,94,48
Fizzy Cola Bottles,96,48
Drumstick Lollys,88,48
Tommy Hilfiger,94,48
Breville,90,48
Wrangler,86,48
Babybel,89,48
Chanel,93,48
Early Learning Centre,80,48
Mentos Gum - Mint,89,48
Shark,77,47
Tic Tac Spearmint,95,47
Lenovo,79,47
Harvester,92,47
Kraft,84,47
Mothercare,91,47
Fry's Turkish Delight,95,47
Expedia,90,47
Ocean Spray,83,47
Bugatti,81,47
Amazon Echo,91,47
Tilda,72,47
Alpro,93,47
The Perfume Shop,84,47
Dorothy Perkins,94,47
Rayban,90,47
Caffè Nero,93,47
Dior,87,47
Prada,95,46
Innocent,77,46
Royal Caribbean Cruises,78,46
Alpen,84,46
Under Armour,82,46
SPAR,94,46
Papa John's,97,46
Regatta,79,46
Patak's,72,46
Hitachi,83,46
Farmfoods,87,46
Blossom Hill,79,46
Skips,86,46
People's Postcode Lottery,94,46
Douwe Egberts,81,46
Chromebook,87,46
Qantas,82,46
Google Fitbit,91,46
Avon,92,46
Babyliss,91,46
Samsung Home Entertainment,80,46
Skoda,89,46
Fujifilm,87,46
Cotton Traders,72,46
Paco Rabanne,89,46
Selfridges,91,46
Eurotunnel,89,46
National Rail,97,46
Moet & Chandon,82,46
Center Parcs,91,45
The co-operative pharmacy,79,45
Corona,91,45
TUI Airways,96,45
Jet2.com,91,45
JVC,94,45
Dyson Hair Care,89,45
Campbell's,84,45
Dyson Purifier,87,45
British Airways Holidays,89,45
Maynards,83,45
Frazzles,85,45
Mackies,64,45
Clintons,91,45
Right Guard,89,45
Lakeland,83,45
Mentos Mint,95,45
Superdry,92,45
Yamaha,88,45
Green & Black's Organic 70% Dark Chocolate,88,45
TSB,95,45
Nature Valley,81,45
Legal & General,95,45
Bacardi,92,45
Stagecoach,85,45
Dolly Mixtures,91,45
Qatar Airways,95,45
Acer,83,45
Jordans,77,45
Garmin,73,45
easyJet holidays,96,45
Strongbow,91,45
Green & Black's Organic 85% Dark Chocolate,94,44
Dr Pepper,99,44
PC World,96,44
Triumph,79,44
Neutrogena,73,44
Hyundai,98,44
Galaxy Cookie Crumble,87,44
Bassetts Liquorice Allsorts,98,44
Tesco Bank,95,44
Snack a Jacks,73,44
Build-A-Bear Workshop,85,44
Ritz,78,44
Foot Locker,86,44
Shrimps,87,44
Armani,90,44
Gü Puds,67,44
Lindt Excellence Dark Chocolate 85% Cocoa,93,44
Marriott,84,44
Rolo Biscuit,73,44
Nestle Dairy Box,93,44
Claire's Accessories,86,44
Domino's Pizza,99,44
L'Oréal Paris Makeup,86,44
Lipton,90,44
Jeep,93,44
Sea World,87,43
Vivienne Westwood,96,43
Moss Bros,82,43
Kawasaki,82,43
Nutri-Grain,85,43
Discos Salt And Vinegar,77,43
Lancôme,71,43
Ann Summers,91,43
UGG,86,43
Barclaycard,97,43
Magners,82,43
Hamleys,84,43
Soap & Glory,61,43
M&S Bank,87,43
Wrigley,79,43
Chupa Chups,88,43
Speedo,88,43
Southern Comfort,92,43
Mamas & Papas,79,43
Co-operative Bank,95,43
Cineworld,91,43
Ben Sherman,81,43
Suzuki Motorcycles,92,43
Sharwood's,78,43
H. Samuel,96,43
Clinique,78,43
Five Guys,88,43
Gucci,98,42
Zara,84,42
Remington Hair Care,77,42
Motorola,92,42
Maserati,79,42
Marmite,96,42
Clarins,72,42
Penguin,66,42
Pandora,93,42
IBM,88,42
Taylors of Harrogate,60,42
Brewers Fayre,84,42
Shell,98,42
Flying Saucers,93,42
Old Speckled Hen,84,42
Caramac,77,42
Staples,90,42
McDelivery,85,42
Cadbury Dairy Milk Turkish,90,42
Chevrolet,86,42
New Balance,70,42
Tizer,89,42
Poundworld,86,42
Wagamama,92,42
Strongbow Dark Fruits,76,42
Carlsberg,96,42
Nando's PERInaise,67,42
Dfs,90,41
Samsonite,69,41
Sainsbury's Pistachios,87,41
Asics,77,41
Max Factor,86,41
Dom Pérignon,80,41
[yellow tail],69,41
Absolut,78,41
Ben & Jerry's Chocolate Fudge Brownie Frozen Yogurt,85,41
Cartier,91,41
Trebor Extra Strong Mints,93,41
Maoam,74,41
Fred Perry,91,41
Swizzels,68,41
Patisserie Valerie,62,41
Frankie & Benny's,95,41
Topshop,95,41
Nespresso,89,41
Bertolli,75,41
Jelly Belly,72,41
San Pellegrino,73,41
NatWest,100,41
Birra Moretti,69,41
Lavazza,73,41
Diesel,90,41
The Famous Grouse,87,41
Epson,73,40
Guylian,80,40
Lotus,74,40
BlackJacks,80,40
Harry Ramsden's,81,40
Gordon's,72,40
Estrella Damm,64,40
London Buses,93,40
Jelly Belly Original,81,40
Harrods,95,40
Beefeater,90,40
Hungry Horse,77,40
HSBC UK,99,40
P&O Cruises,90,40
Bang & Olufsen,64,40
Zizzi,72,40
Crocs,94,40
Savoy Hotel,86,40
Kipling,67,40
Vespa,72,40
Tiffany & Co.,84,40
Rowse Honey,71,40
Lonsdale,89,39
Topman,84,39
Tracker Chocolate Chip Bar,68,39
First Direct,79,39
Renault,99,39
Little Chef,88,39
Twiglets,93,39
Tia Maria,79,39
Dolce & Gabbana,88,39
Revlon,81,39
Robert Dyas,72,39
Slug and Lettuce,88,39
Bulmers,84,39
Yorkshire Building Society,83,39
Carling,93,39
GAME,79,39
The Health Lottery,90,39
Kronenbourg 1664,89,39
Rubicon,73,39
Barbour,76,39
French Connection,92,39
Smeg,72,39
The Entertainer,69,39
Edinburgh Woollen Mill,68,39
Vision Express,91,39
Green Flag,80,39
Pret a Manger,90,39
Echo Falls,70,39
Jewson,83,39
Refresher,88,39
Archers,77,39
Cadbury Bliss Hazelnut Truffle,66,39
Skittles Sour,89,39
Budweiser,92,39
L’Occitane,72,39
Whirlpool,77,38
Zanussi,73,38
Deichmann,70,38
Grey Goose,72,38
P&O Ferries,91,38
Ministry of Sound,89,38
Argos Store Card,94,38
Stork,85,38
Just Brazils Dark Chocolate,70,38
Jo Malone,72,38
Lipton Ice Tea,97,38
Berghaus,72,38
Michael Kors,75,38
Burberry,93,38
Sekonda,78,38
Rimmel London,88,38
Appletiser,78,38
AXA,87,38
Laura Ashley,83,38
Just Juice,66,38
Peugeot,96,38
Miss Selfridge,88,38
