name,fame_pct,popularity_pct
Adidas,100,68
Levi's,98,68
Nike,98,66
Next,98,63
Primark,100,62
The North Face,90,60
Tu Clothing,88,60
Clarks,97,60
George,88,59
PUMA,99,59
Matalan,96,59
Dr. Martens,91,58
TK Maxx,98,57
F&F,82,55
New Look,90,54
Lacoste,98,54
Converse,84,54
Hush Puppies,87,53
H&M,97,52
Sports Direct,99,52
Pringle,88,51
Fruit of the Loom,88,51
Reebok,95,51
GO Outdoors,79,50
Timberland,94,50
Polo Ralph Lauren,94,50
River Island,98,50
Mountain Warehouse,76,49
Schuh,79,49
Vans,83,49
JD Sports,98,49
Umbro,93,48
Gap,94,48
Wrangler,86,48
Mothercare,91,47
Dorothy Perkins,94,47
Rayban,90,47
Under Armour,82,46
Regatta,79,46
Cotton Traders,72,46
Selfridges,91,46
Superdry,92,45
Foot Locker,86,44
Claire's Accessories,86,44
Moss Bros,82,43
Ann Summers,91,43
UGG,86,43
Speedo,88,43
Ben Sherman,81,43
H. Samuel,96,43
Zara,84,42
New Balance,70,42
Dfs,90,41
Samsonite,69,41
Asics,77,41
Fred Perry,91,41
Topshop,95,41
Diesel,90,41
Crocs,94,40
Kipling,67,40
Lonsdale,89,39
Topman,84,39
French Connection,92,39
Deichmann,70,38
Berghaus,72,38
Sekonda,78,38
Laura Ashley,83,38
Miss Selfridge,88,38
Harvey Nichols,88,38
The White Company,64,37
Fat Face,80,37
Canada Goose,69,36
Oasis,79,36
Birkenstock,67,36
Lee,65,36
Accessorize,82,34
Radley,59,34
Urban Outfitters,74,33
Monsoon,82,33
Jack Wills,71,33
Jaeger,77,33
Hi-Tec,73,32
Bench,67,32
Footasylum,65,32
Dune,62,32
Karen Millen,72,32
Asos,93,32
Playboy,95,31
Hollister,75,31
Very,88,31
Pierre Cardin,74,31
Boohoo,85,31
Cath Kidston,68,30
Office,68,30
Harris Tweed,49,29
Lands' End,53,29
Kangol,72,29
Wallis,75,29
Jones Bootmaker,40,29
Abercrombie & Fitch,79,29
White Stuff,52,28
JD Williams,71,28
Guess,60,28
United Colours of Benetton,78,28
Kurt Geiger,61,28
Bravissimo,55,27
Oakley,60,27
Lee Cooper,72,27
Tie Rack,66,27
Westfield,54,27
The Original Factory Shop,53,27
per una,56,27
M&Co.,62,27
Coast,52,27
Craghoppers,49,26
Warehouse,61,26
Beaverbrooks,62,26
Kappa,74,26
Diadora,59,26
Boden,51,26
Joules,58,26
Liberty,46,25
Mizuno,41,25
UNIQLO,44,24
Columbia,55,24
Russell & Bromley,56,24
Fila,82,24
Head,60,23
Burton,50,23
Le Coq Sportif,63,23
Reiss,62,23
Mango,59,23
Donnay,55,23
Weird Fish,48,23
Hobbs,51,23
PrettyLittleThing,71,22
Lotto,75,21
Hunter,50,21
Kaleidoscope,48,21
Spanx,58,21
Fossil,47,20
Barratts,66,20
Rocket Dog,38,20
Bathstore,58,20
American Apparel,49,20
Wilson Sporting Goods,46,20
Jigsaw,41,20
La Senza,52,19
John Rocha,50,19
JoJo Maman Bebe,38,19
Lipsy,45,19
Pretty Green,29,18
Blue Harbour,35,18
Moncler,44,18
Oliver Bonas,46,18
Damart,41,18
Missguided,52,18
QUIZ,42,17
Sloggi,46,17
Merrell,29,17
Red or Dead,41,17
Fenwick,42,16
Whistles,32,16
Rockport,40,16
Principles,51,15
Jane Norman,40,15
Salomon,31,15
Loake,24,14
BoohooMAN,45,14
Religion Clothing,25,14
Kate Spade,32,14
Bonprix,29,14
ECCO,39,13
Boux Avenue,40,13
Cos,27,12
Yours,23,12
Anthropologie,28,11
Biba,33,11
Nasty Gal,31,11
Faith,32,10
Craigdon Mountain Sports,16,10
Outfit,30,10
Blue Inc.,22,9
Curvissa,21,9
Hub footwear,26,8
Kiddicare,34,8
Exhibit,16,8
Mountain Equipment,30,8
Rohan,26,7
Lazy Jacks,17,7
BANK Fashion,21,7
Ariat,19,7
Matchesfashion.com,14,6
Mennace,9,6
JOY,14,6
Montane,17,5
Xile,12,5
Garage Shoes,16,5
Very Exclusive,12,3
Comptoir des Cotonniers,8,3
