name,fame_pct,popularity_pct
Samsung,100,78
Amazon,100,77
Sony,98,72
Panasonic,98,70
Apple,98,62
HP,98,61
Dell,96,58
LG,94,56
Intel,95,49
IBM,88,42
Boeing,88,36
Huawei,89,31
BlackBerry,89,27
NVIDIA,47,26
Sage,60,23
Meta,85,21
Cisco Systems,53,20
Intuit Quickbooks,54,20
OpenAI,48,19
Starlink,46,18
Xero,49,17
Alphabet,31,13
Lumen Technologies,28,11
Paradox,26,11
DeepSeek,19,11
Oracle,46,10
DeepMind,20,9
Bytedance,26,9
Claude,15,9
DeepAI Inc,23,9
Alibaba,45,8
ElevenLabs,14,8
Helsing,16,8
Character AI,21,8
Luma AI,16,8
Palantir,26,7
Jasper AI,13,7
Synthesia,14,7
Mistral AI,12,6
Wayve,19,6
High-Flyer,16,6
Colossal Biosciences,11,6
Stability AI,15,5
Tractable,14,5
Aleph Alpha,9,4
Signal AI,18,4
SafeToNet,13,4
Tencent,20,4
Clarifai,9,2
